Date,Singles,Doubles
2020.11.30,59,589
2020.11.23,59,584
2020.11.16,59,581
2020.11.09,59,579
2020.11.02,60,574
2020.10.26,64,572
2020.10.19,63,568
2020.10.12,61,563T
2020.09.28,67,552
2020.09.21,67,548
2020.09.14,66,546
2020.08.31,82,539
2020.08.24,81,535
2020.03.16,81,536
2020.03.09,81,531
2020.03.02,81,710T
2020.02.24,82,341
2020.02.17,84,339
2020.02.10,80,342
2020.02.03,79,341
2020.01.20,50,341
2020.01.13,49,341
2020.01.06,47,440
2019.12.30,47,442T
2019.12.23,47,442T
2019.12.16,47,442T
2019.12.09,47,443T
2019.12.02,47,443T
2019.11.25,47,443T
2019.11.18,47,445T
2019.11.11,47,445T
2019.11.04,47,439T
2019.10.28,46,435T
2019.10.21,48,433T
2019.10.14,53,437
2019.10.07,51,437
2019.09.30,46,443
2019.09.23,43,441
2019.09.16,43,443
2019.09.09,43,441T
2019.08.26,45,442T
2019.08.19,52,443T
2019.08.12,52,450
2019.08.05,42,449
2019.07.29,40,216
2019.07.22,41,192
2019.07.15,41,192
2019.07.01,38,193
2019.06.24,39,195
2019.06.17,36,195
2019.06.10,35,200
2019.05.27,34,197
2019.05.20,35,199
2019.05.13,34,200
2019.05.06,37,197
2019.04.29,31,201
2019.04.22,30,204
2019.04.15,29,204
2019.04.08,30,174
2019.04.01,30,174
2019.03.18,34,176
2019.03.11,35,173
2019.03.04,35,173
2019.02.25,34,204
2019.02.18,29,203
2019.02.11,29,202
2019.02.04,30,203
2019.01.28,30,201
2019.01.14,39,188
2019.01.07,39,187
2018.12.31,39,186
2018.12.24,39,186
2018.12.17,39,203
2018.12.10,39,203
2018.12.03,39,204
2018.11.26,39,205
2018.11.19,39,204
2018.11.12,40,205
2018.11.05,40,205
2018.10.29,44,206
2018.10.22,45,210
2018.10.15,45,210
2018.10.08,40,209
2018.10.01,41,209
2018.09.24,41,210
2018.09.17,40,208
2018.09.10,40,209
2018.08.27,44,206
2018.08.20,42,207
2018.08.13,38,203
2018.08.06,41,203
2018.07.30,41,360
2018.07.23,42,440
2018.07.16,45,449
2018.07.02,52,461
2018.06.25,52,462
2018.06.18,62,462
2018.06.11,63,464
2018.05.28,58,462
2018.05.21,61,463
2018.05.14,63,468
2018.05.07,56,467
2018.04.30,64,459
2018.04.23,62,455
2018.04.16,56,459
2018.04.09,58,327
2018.04.02,58,327
2018.03.19,63,323
2018.03.05,64,323
2018.02.26,61,322
2018.02.19,91,324
2018.02.12,98,328
2018.02.05,94,327
2018.01.29,93,328
2018.01.15,81,368
2018.01.08,79,368
2018.01.01,79,367
2017.12.25,79,367
2017.12.18,79,367
2017.12.11,79,367
2017.12.04,79,364
2017.11.27,79,363
2017.11.20,78,366
2017.11.13,78,368
2017.11.06,77,366
2017.10.30,78,365
2017.10.23,76,369
2017.10.16,79,372
2017.10.09,92,316
2017.10.02,74,317
2017.09.25,73,302
2017.09.18,72,301
2017.09.11,71,288
2017.08.28,70,290
2017.08.21,71,290
2017.08.14,87,290
2017.08.07,84,291
2017.07.31,67,287
2017.07.24,60,288
2017.07.17,62,286
2017.07.10,64,290
2017.07.03,64,290
2017.06.26,63,285
2017.06.19,63,280
2017.06.12,66,281
2017.05.29,68,291
2017.05.22,66,291
2017.05.15,65,294
2017.05.08,79,292
2017.05.01,80,297
2017.04.24,72,294
2017.04.17,87,295
2017.04.10,89,672
2017.04.03,89,673
2017.03.20,101,679
2017.03.06,86,675
2017.02.27,89,673
2017.02.20,90,674
2017.02.13,91,675
2017.02.06,94,675
2017.01.30,97,674
2017.01.16,108,681
2017.01.09,107,683
2017.01.02,108,686
2016.12.26,108,684
2016.12.19,108,684
2016.12.12,108,680
2016.12.05,108,686
2016.11.28,108,685
2016.11.21,109,682
2016.11.14,108,674
2016.11.07,102,676
2016.10.31,102,677
2016.10.24,102,673
2016.10.17,104,663
2016.10.10,100,922
2016.10.03,117,928
2016.09.26,121,1210T
2016.09.19,122,1210
2016.09.12,128,0
2016.08.29,125,0
2016.08.22,124,0
2016.08.15,123,0
2016.08.08,123,0
2016.08.01,149,0
2016.07.25,157,0
2016.07.18,156,0
2016.07.11,157,0
2016.06.27,167,0
2016.06.20,166,0
2016.06.13,171,0
2016.06.06,175,0
2016.05.23,188,0
2016.05.16,188,0
2016.05.09,191,0
2016.05.02,191,0
2016.04.25,191,0
2016.04.18,182,0
2016.04.11,172,0
2016.04.04,174,0
2016.03.21,167,0
2016.03.07,177,0
2016.02.29,178,0
2016.02.22,178,0
2016.02.15,177,0
2016.02.08,176,0
2016.02.01,181,0
2016.01.18,179,0
2016.01.11,177,0
2016.01.04,176,0
2015.12.28,176,0
2015.12.21,179,0
2015.12.14,179,0
2015.12.07,179,0
2015.11.30,180,0
2015.11.23,178,0
2015.11.16,182,0
2015.11.09,221,0
2015.11.02,226,0
2015.10.26,226,0
2015.10.19,228,0
2015.10.12,255,0
2015.10.05,254,0
2015.09.28,252,0
2015.09.21,251,0
2015.09.14,253,0
2015.08.31,257,576
2015.08.24,275,571
2015.08.17,271,573
2015.08.10,272,560
2015.08.03,274,560T
2015.07.27,274,570
2015.07.20,284,568
2015.07.13,287,569
2015.06.29,291,594T
2015.06.22,289,583T
2015.06.15,286,585T
2015.06.08,287,586
2015.05.25,287,581
2015.05.18,291,579T
2015.05.11,292,576T
2015.05.04,293,575T
2015.04.27,381,576T
2015.04.20,450,574
2015.04.13,519,571T
2015.04.06,520,568T
2015.03.23,816,576T
2015.03.09,800,575T
2015.03.02,799,570T
2015.02.23,798,569T
2015.02.16,798,572T
2015.02.09,798,572T
2015.02.02,798,573T
2015.01.19,1142,538
2015.01.12,1142,537
2015.01.05,1143,530
2014.12.29,1145,536
2014.12.22,1140,535
2014.12.15,1138,534
2014.12.08,1139,532
2014.12.01,1143,536
2014.11.24,1136,535
2014.11.17,1126,531
2014.11.10,1121,529
2014.11.03,1122,529
2014.10.27,1130,526
2014.10.20,1130,525
2014.10.13,1129,525
2014.10.06,1132T,526
2014.09.29,1143,524
2014.09.22,1149,521
2014.09.15,1154,526
2014.09.08,1151,525
2014.08.25,1151,1453T
2014.08.18,1143,1449T
2014.08.11,1151,1469T
2014.08.04,1145,1477T
2014.07.28,1139,1481T
2014.07.21,1135,1482T
2014.07.14,1134,1484T
2014.07.07,1135,1476T
2014.06.23,1138,1455T
2014.06.16,1135,1449T
2014.06.09,1125,1450T
2014.05.26,1235T,1436T
2014.05.19,1237T,1442T
2014.05.12,1235T,1447T
2014.05.05,1296,1449T
2014.04.28,1296,1447T
2014.04.21,1292,1447T
2014.04.14,1285,1440T
2014.04.07,1284,1438T
2014.03.31,1284,1441T
2014.03.17,1285,1442T
2014.03.03,1494T,1441T
2014.02.24,1491T,1438T
2014.02.17,1487T,1436T
2014.02.10,1487T,1433T
2014.02.03,0,1428T
2014.01.27,0,1408T
2014.01.13,0,0
2014.01.06,0,0
2013.12.30,0,0
2013.12.23,0,0
2013.12.16,0,0
2013.12.09,0,0
2013.12.02,0,0
2013.11.25,0,0
2013.11.18,0,0
2013.11.11,0,0
2013.11.04,0,0
2013.10.28,0,0
2013.10.21,0,0
2013.10.14,0,0
2013.10.07,0,0
2013.09.30,0,0
2013.09.23,0,0
2013.09.16,0,0
2013.09.09,0,0
2013.08.26,0,0
2013.08.19,0,0
2013.08.12,0,0
2013.08.05,0,0
2013.07.29,0,0
2013.07.22,0,0
2013.07.15,0,0
2013.07.08,0,0
2013.06.24,0,0
2013.06.17,0,0
