Date,Singles,Doubles
2020.11.30,6,100
2020.11.23,6,100
2020.11.16,6,100
2020.11.09,6,99
2020.11.02,6,96
2020.10.26,5,96
2020.10.19,5,95
2020.10.12,5,93
2020.09.28,6,91
2020.09.21,6,90
2020.09.14,6,88
2020.08.31,6,87
2020.08.24,6,83
2020.03.16,6,83
2020.03.09,6,83
2020.03.02,6,82
2020.02.24,6,85
2020.02.17,6,87
2020.02.10,6,86
2020.02.03,6,85
2020.01.20,6,89
2020.01.13,6,88
2020.01.06,6,82
2019.12.30,6,85
2019.12.23,6,85
2019.12.16,6,85
2019.12.09,6,85
2019.12.02,6,85
2019.11.25,6,85
2019.11.18,6,85
2019.11.11,6,87
2019.11.04,6,88
2019.10.28,7,79
2019.10.21,7,72
2019.10.14,7,72
2019.10.07,7,73
2019.09.30,7,73
2019.09.23,7,73
2019.09.16,7,73
2019.09.09,7,73
2019.08.26,8,68
2019.08.19,8,68
2019.08.12,7,70
2019.08.05,5,70
2019.07.29,6,71
2019.07.22,6,71
2019.07.15,6,71
2019.07.01,6,72
2019.06.24,6,72
2019.06.17,6,72
2019.06.10,6,73
2019.05.27,6,74
2019.05.20,6,75
2019.05.13,7,75
2019.05.06,9,101
2019.04.29,10,100
2019.04.22,8,100
2019.04.15,8,100
2019.04.08,8,99
2019.04.01,8,98
2019.03.18,10,226
2019.03.11,10,222
2019.03.04,10,222
2019.02.25,11,223
2019.02.18,12,224
2019.02.11,12,213
2019.02.04,12,212
2019.01.28,12,211
2019.01.14,15,210
2019.01.07,15,211
2018.12.31,15,211
2018.12.24,15,211
2018.12.17,15,220
2018.12.10,15,220
2018.12.03,15,221
2018.11.26,15,223
2018.11.19,15,223
2018.11.12,15,225
2018.11.05,15,223
2018.10.29,16,294
2018.10.22,16,437
2018.10.15,16,437
2018.10.08,15,428
2018.10.01,15,426
2018.09.24,15,430
2018.09.17,15,429
2018.09.10,15,429
2018.08.27,15,1034
2018.08.20,15,1028
2018.08.13,15,1024
2018.08.06,27,1028
2018.07.30,32,1030
2018.07.23,32,1031
2018.07.16,32,593
2018.07.02,35,598
2018.06.25,35,597
2018.06.18,35,604
2018.06.11,37,606
2018.05.28,39,600
2018.05.21,40,601
2018.05.14,43,599
2018.05.07,40,595
2018.04.30,44,592
2018.04.23,63,519
2018.04.16,71,520
2018.04.09,69,520
2018.04.02,69,473
2018.03.19,70,461
2018.03.05,71,465
2018.02.26,82,463
2018.02.19,80,462
2018.02.12,82,567
2018.02.05,78,566
2018.01.29,83,568
2018.01.15,82,564
2018.01.08,80,568
2018.01.01,91,567
2017.12.25,91,569
2017.12.18,91,566
2017.12.11,91,569
2017.12.04,91,568
2017.11.27,91,565
2017.11.20,89,498
2017.11.13,87,495
2017.11.06,87,501
2017.10.30,89,500
2017.10.23,95,500
2017.10.16,122,499
2017.10.09,131,451
2017.10.02,115,412
2017.09.25,117,418
2017.09.18,120,351
2017.09.11,120,355
2017.08.28,161,322
2017.08.21,161,322
2017.08.14,159,322
2017.08.07,168,322
2017.07.31,164,320
2017.07.24,161,315
2017.07.17,167,409
2017.07.10,192,412
2017.07.03,192,412
2017.06.26,190,406
2017.06.19,186,405
2017.06.12,192,406
2017.05.29,205,421
2017.05.22,202,414
2017.05.15,191,397
2017.05.08,201,398
2017.05.01,207,358
2017.04.24,206,391
2017.04.17,201,381
2017.04.10,198,381
2017.04.03,203,379
2017.03.20,204,382
2017.03.06,206,381
2017.02.27,207,377
2017.02.20,205,383
2017.02.13,205,383
2017.02.06,203,381
2017.01.30,196,385
2017.01.16,206,387
2017.01.09,205,362
2017.01.02,210,363
2016.12.26,210,363
2016.12.19,210,364
2016.12.12,210,366
2016.12.05,209,364
2016.11.28,209,364
2016.11.21,207,383
2016.11.14,205,358
2016.11.07,205,335
2016.10.31,200,336
2016.10.24,207,327
2016.10.17,205,334
2016.10.10,241,316
2016.10.03,313,332
2016.09.26,310,333
2016.09.19,321,376
2016.09.12,323,378
2016.08.29,335,425
2016.08.22,334,421
2016.08.15,336,424
2016.08.08,328,393
2016.08.01,324,394
2016.07.25,339,388
2016.07.18,359,394
2016.07.11,357,387
2016.06.27,358,386
2016.06.20,360,389
2016.06.13,360,395
2016.06.06,358,394
2016.05.23,406,398
2016.05.16,436,421
2016.05.09,437,422
2016.05.02,458,428
2016.04.25,463,423
2016.04.18,532,427
2016.04.11,532,416
2016.04.04,521,460
2016.03.21,522,457
2016.03.07,520,452
2016.02.29,519,459
2016.02.22,521,462
2016.02.15,523,466
2016.02.08,521,465
2016.02.01,573,461
2016.01.18,576,455
2016.01.11,574,506
2016.01.04,576,507
2015.12.28,576,507
2015.12.21,573,506
2015.12.14,576,508
2015.12.07,572,504
2015.11.30,572,503
2015.11.23,683,497
2015.11.16,678,571
2015.11.09,681,660
2015.11.02,763,659
2015.10.26,762,677
2015.10.19,758,658
2015.10.12,761,805
2015.10.05,879,797
2015.09.28,948,792
2015.09.21,949,787
2015.09.14,953,782
2015.08.31,986,804
2015.08.24,980,798
2015.08.17,953,791
2015.08.10,949,914
2015.08.03,1023,907T
2015.07.27,1028,901T
2015.07.20,1022,904T
2015.07.13,1023,904T
2015.06.29,1042,926
2015.06.22,1028,919
2015.06.15,1030,919
2015.06.08,1032,923
2015.05.25,1026,923
2015.05.18,1027,913
2015.05.11,1024,909
2015.05.04,1023,1172T
2015.04.27,1021,1177T
2015.04.20,1018,1351T
2015.04.13,1020,1730T
2015.04.06,1075,1711T
2015.03.23,1117,1707T
2015.03.09,1116,1715T
2015.03.02,1114,1714T
2015.02.23,1116,1722T
2015.02.16,1119,1715T
2015.02.09,1118,1714T
2015.02.02,1279,1713T
2015.01.19,1278,1709T
2015.01.12,1277,1709T
2015.01.05,1278,1705T
2014.12.29,1280,1709T
2014.12.22,1278,1705T
2014.12.15,1272,1708T
2014.12.08,1271,1705T
2014.12.01,1275,1698T
2014.11.24,1271,1686T
2014.11.17,1467T,1682T
2014.11.10,2118T,1681T
2014.11.03,2104T,1690T
2014.10.27,1644T,1719T
2014.10.20,1651T,0
2014.10.13,1686T,0
2014.10.06,1697T,0
2014.09.29,1709T,0
2014.09.22,1713T,0
2014.09.15,1720T,0
2014.09.08,1710T,0
2014.08.25,1703T,0
2014.08.18,2202T,0
2014.08.11,2205T,0
2014.08.04,2208T,0
2014.07.28,2205T,0
2014.07.21,2172T,0
2014.07.14,2162T,0
2014.07.07,2159T,0
2014.06.23,2150T,0
2014.06.16,2146T,0
2014.06.09,2128T,0
2014.05.26,2118T,0
2014.05.19,2126T,0
2014.05.12,2139T,0
2014.05.05,2143T,0
2014.04.28,2139T,0
2014.04.21,2130T,0
2014.04.14,2133T,0
2014.04.07,2121T,0
2014.03.31,2124T,0
2014.03.17,2011T,0
2014.03.03,2000T,0
2014.02.24,1998T,0
2014.02.17,1995T,0
2014.02.10,1991T,0
2014.02.03,1984T,0
2014.01.27,1984T,0
2014.01.13,1979T,0
2014.01.06,1978T,0
2013.12.30,1985T,0
2013.12.23,1989T,0
2013.12.16,1992T,0
2013.12.09,2003T,0
2013.12.02,2007T,0
2013.11.25,2018T,0
2013.11.18,2015T,0
2013.11.11,2017T,0
2013.11.04,2030T,0
2013.10.28,0,0
2013.10.21,0,0
2013.10.14,0,0
2013.10.07,0,0
