Date,Singles,Doubles
2020.11.30,37,414
2020.11.23,37,409
2020.11.16,37,408
2020.11.09,44,407
2020.11.02,44,404
2020.10.26,43,403
2020.10.19,46,402
2020.10.12,46,398
2020.09.28,75,391
2020.09.21,74,390
2020.09.14,81,387
2020.08.31,74,385
2020.08.24,73,384
2020.03.16,73,384
2020.03.09,73,380
2020.03.02,71,445
2020.02.24,75,449
2020.02.17,68,396
2020.02.10,79,392
2020.02.03,78,395
2020.01.20,82,387
2020.01.13,79,388
2020.01.06,78,382
2019.12.30,78,383
2019.12.23,78,383
2019.12.16,78,382
2019.12.09,78,381
2019.12.02,78,381
2019.11.25,78,383
2019.11.18,78,384
2019.11.11,96,384
2019.11.04,95,384
2019.10.28,93,383
2019.10.21,101,382
2019.10.14,119,1004
2019.10.07,127,1007
2019.09.30,124,1005
2019.09.23,128,1003
2019.09.16,127,1010
2019.09.09,128,1009
2019.08.26,137,686
2019.08.19,131,611
2019.08.12,130,587
2019.08.05,135,592
2019.07.29,194,483
2019.07.22,199,486
2019.07.15,208,483
2019.07.01,209,482
2019.06.24,210,482
2019.06.17,209,478
2019.06.10,219,480
2019.05.27,215,469
2019.05.20,229,471
2019.05.13,263,468
2019.05.06,262,468
2019.04.29,298,466
2019.04.22,314,466
2019.04.15,311,467
2019.04.08,316,469
2019.04.01,319,466
2019.03.18,322,472
2019.03.11,324,473
2019.03.04,324,473
2019.02.25,324,475
2019.02.18,546T,543
2019.02.11,549T,543
2019.02.04,550T,545
2019.01.28,550T,544
2019.01.14,549T,544
2019.01.07,553,542
2018.12.31,551,543
2018.12.24,551,543
2018.12.17,770,755
2018.12.10,769,754
2018.12.03,764,754
2018.11.26,763,752
2018.11.19,762,753T
2018.11.12,760,750T
2018.11.05,754,745T
2018.10.29,785,743
2018.10.22,785,743
2018.10.15,778,744
2018.10.08,870,746
2018.10.01,868,751
2018.09.24,872,757
2018.09.17,878,759
2018.09.10,882,771
2018.08.27,891,1043
2018.08.20,1115T,1532T
2018.08.13,1159T,1508T
2018.08.06,1161T,1506T
2018.07.30,1164T,1515T
2018.07.23,1162T,1513T
2018.07.16,1160T,1518T
2018.07.02,1165,1525T
2018.06.25,1169,1539T
2018.06.18,1170,1542T
2018.06.11,1172,1543T
2018.05.28,1197T,1510T
2018.05.21,1351T,1513T
2018.05.14,1480T,1499T
2018.05.07,1476T,0
2018.04.30,1479T,0
2018.04.23,1479T,0
2018.04.16,1482T,0
2018.04.09,1480T,0
2018.04.02,1770T,0
2018.03.19,1592T,0
2018.03.05,1583T,0
2018.02.26,1585T,0
2018.02.19,1586T,0
2018.02.12,1592T,0
2018.02.05,0,0
2018.01.29,0,0
2017.08.07,0,0
2017.07.31,0,0
2017.07.24,0,0
2017.07.17,0,0
2017.07.10,0,0
2017.07.03,0,0
2017.06.26,0,0
2017.06.19,0,0
2017.06.12,0,0
2017.05.29,0,0
2017.05.22,0,0
2017.05.15,0,0
2017.05.08,0,0
2017.05.01,0,0
2017.04.24,0,0
2017.04.17,0,0
2017.04.10,0,0
2017.04.03,0,0
2017.03.20,0,0
2017.03.06,0,0
2017.02.27,0,0
2017.02.20,0,0
2017.02.13,0,0
2017.02.06,0,0
2017.01.30,0,0
2017.01.16,0,0
2017.01.09,0,0
2017.01.02,0,0
2016.12.26,0,0
2016.12.19,0,0
2016.12.12,0,0
2016.12.05,0,0
2016.11.28,0,0
2016.11.21,0,0
2016.11.14,0,0
2016.11.07,0,0
2016.10.31,0,0
2016.10.24,0,0
2016.10.17,0,0
2016.10.10,0,0
2016.10.03,0,0
2016.09.26,0,0
2016.09.19,0,0
2016.09.12,0,0
2016.08.29,0,0
2016.08.22,0,0
2016.08.15,0,0
2016.08.08,0,0
2016.08.01,0,0
2016.07.25,0,0
2016.07.18,0,0
2016.07.11,0,0
2016.06.27,0,0
2016.06.20,0,0
2016.06.13,0,0
2016.06.06,0,0
2016.05.23,0,0
2016.05.16,0,0
2016.05.09,0,0
2016.05.02,0,0
2016.04.25,0,0
2016.04.18,0,0
2016.04.11,0,0
2016.04.04,0,0
2016.03.21,0,0
2016.03.07,0,0
2016.02.29,0,0
2016.02.22,0,0
2016.02.15,0,0
2016.02.08,0,0
2016.02.01,0,0
2016.01.18,0,0
2016.01.11,0,0
2016.01.04,0,0
2015.12.28,0,0
2015.12.21,0,0
2015.12.14,0,0
2015.12.07,0,0
2015.11.30,0,0
2015.11.23,0,0
2015.11.16,0,0
2015.11.09,0,0
2015.11.02,0,0
2015.10.26,0,0
2015.10.19,0,0
2015.10.12,0,0
2015.10.05,0,0
