Date,Singles,Doubles
2020.11.30,77,0
2020.11.23,77,0
2020.11.16,77,0
2020.11.09,76,0
2020.11.02,75,0
2020.10.26,74,0
2020.10.19,74,0
2020.10.12,73,0
2020.09.28,71,0
2020.09.21,70,0
2020.09.14,69,0
2020.08.31,77,0
2020.08.24,75,0
2020.03.16,75,0
2020.03.09,75,0
2020.03.02,74,0
2020.02.24,74,0
2020.02.17,77,0
2020.02.10,76,0
2020.02.03,71,0
2020.01.20,70,0
2020.01.13,70,0
2020.01.06,81,0
2019.12.30,83,0
2019.12.23,83,0
2019.12.16,83,0
2019.12.09,83,0
2019.12.02,83,0
2019.11.25,83,0
2019.11.18,83,0
2019.11.11,82,0
2019.11.04,82,0
2019.10.28,97,0
2019.10.21,94,0
2019.10.14,94,0
2019.10.07,97,0
2019.09.30,101,0
2019.09.23,96,0
2019.09.16,96,0
2019.09.09,82,847T
2019.08.26,82,851
2019.08.19,83,843
2019.08.12,83,840
2019.08.05,83,840
2019.07.29,83,503T
2019.07.22,80,509T
2019.07.15,81,503T
2019.07.01,84,507
2019.06.24,85,507
2019.06.17,86,503
2019.06.10,102,504T
2019.05.27,110,493T
2019.05.20,117,495T
2019.05.13,123,495T
2019.05.06,122,492T
2019.04.29,126,492T
2019.04.22,133,492T
2019.04.15,126,494T
2019.04.08,129,495T
2019.04.01,129,494T
2019.03.18,136,499T
2019.03.11,137,498T
2019.03.04,137,498T
2019.02.25,143,497T
2019.02.18,134,495T
2019.02.11,131,494T
2019.02.04,145,492T
2019.01.28,143,493T
2019.01.14,151,494
2019.01.07,152,494
2018.12.31,144,495
2018.12.24,144,495
2018.12.17,148,906
2018.12.10,149,910
2018.12.03,149,917
2018.11.26,150,917
2018.11.19,155,916
2018.11.12,156,911
2018.11.05,158,908T
2018.10.29,148,908T
2018.10.22,120,917T
2018.10.15,118,914T
2018.10.08,111,918
2018.10.01,112,914
2018.09.24,107,916
2018.09.17,105,917
2018.09.10,126,0
2018.08.27,112,0
2018.08.20,112,0
2018.08.13,112,0
2018.08.06,110,0
2018.07.30,109,0
2018.07.23,119,0
2018.07.16,117,0
2018.07.02,125,0
2018.06.25,127,0
2018.06.18,126,0
2018.06.11,130,0
2018.05.28,141,552T
2018.05.21,143,551T
