Date,Singles,Doubles
2020.11.30,12,49
2020.11.23,12,49
2020.11.16,12,49
2020.11.09,12,49
2020.11.02,12,49
2020.10.26,12,48
2020.10.19,12,47
2020.10.12,12,44
2020.09.28,11,44
2020.09.21,10,44
2020.09.14,14,45
2020.08.31,17,45
2020.08.24,17,44
2020.03.16,16,44
2020.03.09,16,44
2020.03.02,16,44
2020.02.24,15,44
2020.02.17,15,46
2020.02.10,16,52
2020.02.03,16,50
2020.01.20,13,49
2020.01.13,13,46
2020.01.06,14,48
2019.12.30,15,50
2019.12.23,15,50
2019.12.16,15,50
2019.12.09,15,50
2019.12.02,15,50
2019.11.25,15,50
2019.11.18,15,50
2019.11.11,15,49
2019.11.04,15,49
2019.10.28,28,58
2019.10.21,27,60
2019.10.14,34,60
2019.10.07,36,62
2019.09.30,32,69
2019.09.23,34,69
2019.09.16,33,68
2019.09.09,33,67
2019.08.26,33,86
2019.08.19,38,86
2019.08.12,34,92
2019.08.05,32,139
2019.07.29,31,139
2019.07.22,29,139
2019.07.15,29,139
2019.07.01,27,139
2019.06.24,27,138
2019.06.17,25,130
2019.06.10,25,154
2019.05.27,24,158
2019.05.20,23,161
2019.05.13,22,184
2019.05.06,20,185
2019.04.29,20,188
2019.04.22,20,177
2019.04.15,20,174
2019.04.08,20,175
2019.04.01,20,175
2019.03.18,23,250
2019.03.11,25,304
2019.03.04,25,304
2019.02.25,24,306
2019.02.18,25,274
2019.02.11,25,275
2019.02.04,25,303
2019.01.28,25,302
2019.01.14,27,300
2019.01.07,27,301
2018.12.31,27,300
2018.12.24,27,300
2018.12.17,27,396
2018.12.10,27,396
2018.12.03,27,397
2018.11.26,27,399
2018.11.19,27,400
2018.11.12,27,398
2018.11.05,27,395
2018.10.29,29,397
2018.10.22,29,398
2018.10.15,30,395
2018.10.08,29,392
2018.10.01,31,395
2018.09.24,31,398
2018.09.17,34,392
2018.09.10,34,389
2018.08.27,28,397
2018.08.20,28,399
2018.08.13,32,399
2018.08.06,26,398
2018.07.30,26,400
2018.07.23,27,401
2018.07.16,25,356
2018.07.02,25,361
2018.06.25,26,357
2018.06.18,23,453
2018.06.11,23,455
2018.05.28,25,452
2018.05.21,26,453
2018.05.14,29,454
2018.05.07,43,453
2018.04.30,42,444
2018.04.23,43,618
2018.04.16,45,621T
2018.04.09,45,628T
2018.04.02,45,630T
2018.03.19,46,629
2018.03.05,44,514
2018.02.26,45,511
2018.02.19,46,760
2018.02.12,47,759
2018.02.05,48,752
2018.01.29,48,754
2018.01.15,50,756
2018.01.08,50,756
2018.01.01,51,755
2017.12.25,51,756
2017.12.18,51,754
2017.12.11,51,753
2017.12.04,51,755
2017.11.27,51,758
2017.11.20,51,765
2017.11.13,51,770
2017.11.06,51,773
2017.10.30,49,772
2017.10.23,49,783
2017.10.16,50,786
2017.10.09,50,788
2017.10.02,51,793
2017.09.25,52,787
2017.09.18,51,790
2017.09.11,51,791
2017.08.28,69,789
2017.08.21,69,789
2017.08.14,67,786
2017.08.07,143,787
2017.07.31,134,668
2017.07.24,130,664
2017.07.17,161,885
2017.07.10,164,889
2017.07.03,164,889
2017.06.26,164,875
2017.06.19,193,861
2017.06.12,195,867
2017.05.29,193,880
2017.05.22,190,872
2017.05.15,188,872
2017.05.08,186,871
2017.05.01,184,869
2017.04.24,178,745
2017.04.17,180,691
2017.04.10,172,689
2017.04.03,173,686
2017.03.20,194,691
2017.03.06,253,598
2017.02.27,250,596
2017.02.20,255,599
2017.02.13,256,600
2017.02.06,251,602
2017.01.30,234,605
2017.01.16,234,558
2017.01.09,247,555
2017.01.02,250,557
2016.12.26,250,557
2016.12.19,253,556
2016.12.12,252,552
2016.12.05,250,551
2016.11.28,250,552
2016.11.21,240,481
2016.11.14,241,463
2016.11.07,238,459
2016.10.31,239,467
2016.10.24,239,476
2016.10.17,242,471
2016.10.10,242,467
2016.10.03,248,468
2016.09.26,248,463
2016.09.19,247,469
2016.09.12,245,472
2016.08.29,246,480
2016.08.22,250,479
2016.08.15,250,484
2016.08.08,273,477
2016.08.01,291,542
2016.07.25,370,537
2016.07.18,371,474
2016.07.11,372,477
2016.06.27,374,477
2016.06.20,378,479
2016.06.13,380,482
2016.06.06,396,480
2016.05.23,400,486
2016.05.16,393,488
2016.05.09,393,489
2016.05.02,405,496
2016.04.25,452,540
2016.04.18,450,582
2016.04.11,549,584
2016.04.04,551,585
2016.03.21,551,587
2016.03.07,775,797
2016.02.29,778,798
2016.02.22,782,803
2016.02.15,779,800
2016.02.08,778,801
2016.02.01,1096T,799
2016.01.18,1132T,876
2016.01.11,1131T,874T
2016.01.04,1130T,877T
2015.12.28,1130T,877T
2015.12.21,1129T,879T
2015.12.14,1126,876T
2015.12.07,1168T,872
2015.11.30,1162T,874
2015.11.23,2066T,1090T
2015.11.16,1997T,1193T
2015.11.09,1999T,1190T
2015.11.02,1990T,1183T
2015.10.26,2000T,1182T
2015.10.19,2001T,1168T
