Date,Singles,Doubles
2020.11.30,52,225
2020.11.23,52,225
2020.11.16,52,223
2020.11.09,52,223
2020.11.02,63,221
2020.10.26,62,220
2020.10.19,64,219
2020.10.12,71,236
2020.09.28,70,233
2020.09.21,69,232
2020.09.14,70,232
2020.08.31,99,226
2020.08.24,96,224
2020.03.16,97,224
2020.03.09,97,224
2020.03.02,96,224
2020.02.24,98,957T
2020.02.17,90,952T
2020.02.10,89,958T
2020.02.03,84,959T
2020.01.20,88,960
2020.01.13,85,958
2020.01.06,85,954
2019.12.30,87,960
2019.12.23,87,961
2019.12.16,87,962
2019.12.09,87,960
2019.12.02,87,956
2019.11.25,87,953
2019.11.18,87,957
2019.11.11,89,955
2019.11.04,87,958
2019.10.28,82,961
2019.10.21,93,953T
2019.10.14,101,1050T
2019.10.07,102,1053T
2019.09.30,103,1048T
2019.09.23,102,1049T
2019.09.16,108,1051T
2019.09.09,109,1049T
2019.08.26,126,1046T
2019.08.19,126,1043T
2019.08.12,126,1050T
2019.08.05,127,1051T
2019.07.29,127,565T
2019.07.22,127,567T
2019.07.15,128,565T
2019.07.01,131,566T
2019.06.24,133,566T
2019.06.17,133,559T
2019.06.10,129,559T
2019.05.27,133,551T
2019.05.20,133,556T
2019.05.13,131,556T
2019.05.06,127,555T
2019.04.29,167,559T
2019.04.22,171,558T
2019.04.15,168,563T
2019.04.08,172,565T
2019.04.01,172,562T
2019.03.18,181,566T
2019.03.11,181,563T
2019.03.04,181,563T
2019.02.25,184,565T
2019.02.18,221,561T
2019.02.11,225,561
2019.02.04,236,562
2019.01.28,235,560
2019.01.14,241,561
2019.01.07,241,560
2018.12.31,237,560
2018.12.24,237,560
2018.12.17,228,960
2018.12.10,230,962
2018.12.03,231,968
2018.11.26,231,967
2018.11.19,234,966
2018.11.12,231,966
2018.11.05,233,971
2018.10.29,259,973
2018.10.22,268,984
2018.10.15,280,1405T
2018.10.08,280,1398T
2018.10.01,285,1398T
2018.09.24,285,1396T
2018.09.17,283,1393T
2018.09.10,400,1391T
2018.08.27,374,1067
2018.08.20,372,1062
2018.08.13,372,1057
2018.08.06,370,1060
2018.07.30,369,1065
2018.07.23,367,1067T
2018.07.16,374,1075T
2018.07.02,377,1079T
2018.06.25,348,1077
2018.06.18,346,1079
2018.06.11,393,1250T
2018.05.28,396,1239T
2018.05.21,393,1233T
2018.05.14,409,1231T
2018.05.07,408,1228T
2018.04.30,404,1222T
2018.04.23,395,1222T
2018.04.16,393,1226T
2018.04.09,394,1227T
2018.04.02,393,1226T
2018.03.19,455,1216T
2018.03.05,477,1220T
2018.02.26,476,1220T
2018.02.19,479,1221T
2018.02.12,483,1225T
2018.02.05,487,1226T
2018.01.29,487,1231T
2018.01.15,488,1233T
2018.01.08,490,1235T
2018.01.01,493,1238T
2017.12.25,496,1238T
2017.12.18,498,1237T
2017.12.11,493,1230T
2017.12.04,465,1222T
2017.11.27,455,1215T
2017.11.20,454,1219T
2017.11.13,471,1091T
2017.11.06,467,1101T
2017.10.30,472,1104T
2017.10.23,480,743
2017.10.16,481,743
2017.10.09,479,751
2017.10.02,476,758
2017.09.25,479,753
2017.09.18,481,756
2017.09.11,481,754
2017.08.28,570,892
2017.08.21,569,890
2017.08.14,561,886
2017.08.07,558,885
2017.07.31,555,887
2017.07.24,554,888
2017.07.17,556,884
2017.07.10,637,887
2017.07.03,637,887
2017.06.26,806,873
2017.06.19,785,858
2017.06.12,788,864
2017.05.29,798,877
2017.05.22,788,869
2017.05.15,794,870
2017.05.08,799,869
2017.05.01,808,867
2017.04.24,861,872
2017.04.17,857,875
2017.04.10,857,871
2017.04.03,858,872
2017.03.20,872,872
2017.03.06,874,882
2017.02.27,854,883
2017.02.20,854,889
2017.02.13,857,890
2017.02.06,855,887
2017.01.30,858,884
2017.01.16,859,882
2017.01.09,860,882
2017.01.02,859,883
2016.12.26,857,883
2016.12.19,855,880
2016.12.12,854,879
2016.12.05,981,878
2016.11.28,1037,880
2016.11.21,1068,881
2016.11.14,1140,926T
2016.11.07,1135T,929T
2016.10.31,1134,931T
2016.10.24,1180T,0
2016.10.17,1176T,0
2016.10.10,1179T,0
2016.10.03,1173,0
2016.09.26,1173T,0
2016.09.19,1180T,0
2016.09.12,1144,0
2016.08.29,1154,0
2016.08.22,1148T,0
2016.08.15,1256T,0
2016.08.08,1250T,0
2016.08.01,1248T,0
2016.07.25,1247T,0
2016.07.18,1248,0
2016.07.11,1191T,0
2016.06.27,1194T,0
2016.06.20,1343T,0
2016.06.13,1346T,0
2016.06.06,1356T,0
2016.05.23,1353T,0
2016.05.16,1354T,0
2016.05.09,1347T,0
2016.05.02,1350T,0
2016.04.25,1348T,0
2016.04.18,1348T,0
2016.04.11,1351T,0
2016.04.04,1359T,0
2016.03.21,1359T,0
2016.03.07,1360T,0
2016.02.29,1463T,0
2016.02.22,1466T,0
2016.02.15,1470T,0
2016.02.08,1475T,0
2016.02.01,1470T,0
2016.01.18,1469T,0
2016.01.11,1469T,0
2016.01.04,1469T,0
2015.12.28,1469T,0
2015.12.21,1472T,0
2015.12.14,1477T,0
2015.12.07,1458T,0
2015.11.30,1439T,0
2015.11.23,1432T,0
2015.11.16,1438T,0
2015.11.09,1435T,0
2015.11.02,1434T,0
2015.10.26,1435T,0
2015.10.19,1438T,0
2015.10.12,1434T,0
2015.10.05,1425T,0
2015.09.28,1416T,0
2015.09.21,1414T,0
2015.09.14,1548T,0
2015.08.31,1592T,0
2015.08.24,1551T,0
2015.08.17,1556T,0
2015.08.10,1562T,0
2015.08.03,1565T,0
2015.07.27,1564T,0
2015.07.20,1568T,0
2015.07.13,1767T,0
