Date,Singles,Doubles
2020.11.30,7,173
2020.11.23,7,173
2020.11.16,7,170
2020.11.09,7,168
2020.11.02,7,162
2020.10.26,7,161
2020.10.19,7,174
2020.10.12,7,173
2020.09.28,7,167
2020.09.21,7,167
2020.09.14,7,167
2020.08.31,7,165
2020.08.24,7,162
2020.03.16,7,162
2020.03.09,7,161
2020.03.02,7,161
2020.02.24,7,99
2020.02.17,7,102
2020.02.10,7,99
2020.02.03,7,94
2020.01.20,7,97
2020.01.13,7,97
2020.01.06,7,96
2019.12.30,7,99
2019.12.23,7,99
2019.12.16,7,99
2019.12.09,7,99
2019.12.02,7,99
2019.11.25,7,99
2019.11.18,7,99
2019.11.11,7,100
2019.11.04,7,99
2019.10.28,6,99
2019.10.21,6,70
2019.10.14,6,70
2019.10.07,6,72
2019.09.30,6,79
2019.09.23,6,81
2019.09.16,6,79
2019.09.09,6,80
2019.08.26,6,81
2019.08.19,6,81
2019.08.12,6,81
2019.08.05,7,93
2019.07.29,5,90
2019.07.22,5,94
2019.07.15,5,99
2019.07.01,5,96
2019.06.24,5,98
2019.06.17,5,76
2019.06.10,5,76
2019.05.27,5,76
2019.05.20,5,76
2019.05.13,5,77
2019.05.06,4,74
2019.04.29,3,73
2019.04.22,3,73
2019.04.15,3,74
2019.04.08,3,73
2019.04.01,3,73
2019.03.18,3,68
2019.03.11,3,71
2019.03.04,3,71
2019.02.25,3,104
2019.02.18,3,108
2019.02.11,3,106
2019.02.04,3,106
2019.01.28,3,105
2019.01.14,4,107
2019.01.07,4,106
2018.12.31,4,107
2018.12.24,4,107
2018.12.17,4,107
2018.12.10,4,107
2018.12.03,4,107
2018.11.26,4,109
2018.11.19,4,109
2018.11.12,5,106
2018.11.05,5,108
2018.10.29,5,109
2018.10.22,5,161
2018.10.15,5,160
2018.10.08,5,162
2018.10.01,5,164
2018.09.24,5,152
2018.09.17,5,147
2018.09.10,5,148
2018.08.27,4,147
2018.08.20,4,148
2018.08.13,4,148
2018.08.06,3,148
2018.07.30,3,146
2018.07.23,3,143
2018.07.16,3,145
2018.07.02,3,147
2018.06.25,3,146
2018.06.18,3,145
2018.06.11,3,145
2018.05.28,3,150
2018.05.21,3,149
2018.05.14,3,149
2018.05.07,3,151
2018.04.30,3,153
2018.04.23,3,153
2018.04.16,4,150
2018.04.09,4,147
2018.04.02,4,147
2018.03.19,5,143
2018.03.05,5,126
2018.02.26,5,129
2018.02.19,5,129
2018.02.12,4,128
2018.02.05,5,95
2018.01.29,5,97
2018.01.15,4,101
2018.01.08,4,99
2018.01.01,4,103
2017.12.25,4,103
2017.12.18,4,103
2017.12.11,4,103
2017.12.04,4,103
2017.11.27,4,103
2017.11.20,4,103
2017.11.13,3,101
2017.11.06,3,99
2017.10.30,4,99
2017.10.23,5,101
2017.10.16,5,98
2017.10.09,4,100
2017.10.02,4,98
2017.09.25,4,101
2017.09.18,4,102
2017.09.11,4,102
2017.08.28,6,105
2017.08.21,6,105
2017.08.14,7,105
2017.08.07,8,104
2017.07.31,8,104
2017.07.24,11,96
2017.07.17,11,96
2017.07.10,12,93
2017.07.03,12,93
2017.06.26,12,89
2017.06.19,12,125
2017.06.12,10,115
2017.05.29,10,113
2017.05.22,10,112
2017.05.15,17,113
2017.05.08,19,99
2017.05.01,20,99
2017.04.24,21,93
2017.04.17,20,104
2017.04.10,20,104
2017.04.03,20,104
2017.03.20,20,119
2017.03.06,20,134
2017.02.27,20,131
2017.02.20,18,136
2017.02.13,18,135
2017.02.06,21,226
2017.01.30,22,163
2017.01.16,24,164
2017.01.09,24,163
2017.01.02,24,161
2016.12.26,24,161
2016.12.19,24,161
2016.12.12,24,161
2016.12.05,24,161
2016.11.28,24,161
2016.11.21,24,161
2016.11.14,24,162
2016.11.07,24,162
2016.10.31,21,163
2016.10.24,20,164
2016.10.17,20,160
2016.10.10,21,160
2016.10.03,24,156
2016.09.26,24,155
2016.09.19,27,154
2016.09.12,27,155
2016.08.29,28,155
2016.08.22,29,157
2016.08.15,27,158
2016.08.08,27,158
2016.08.01,24,160
2016.07.25,25,187
2016.07.18,27,186
2016.07.11,27,186
2016.06.27,28,176
2016.06.20,28,177
2016.06.13,38,217
2016.06.06,38,215
2016.05.23,41,219
2016.05.16,48,220
2016.05.09,44,281
2016.05.02,43,283
2016.04.25,49,211
2016.04.18,51,215
2016.04.11,54,218
2016.04.04,54,220
2016.03.21,52,218
2016.03.07,58,214T
2016.02.29,58,213T
2016.02.22,56,213T
2016.02.15,56,214T
2016.02.08,70,212T
2016.02.01,85,350
2016.01.18,83,347T
2016.01.11,83,347
2016.01.04,83,343
2015.12.28,83,343
2015.12.21,83,346
2015.12.14,83,347
2015.12.07,83,349
2015.11.30,83,351
2015.11.23,81,349
2015.11.16,83,353
2015.11.09,81,350T
2015.11.02,82,348T
2015.10.26,84,348T
2015.10.19,83,343
2015.10.12,80,340T
2015.10.05,78,343T
2015.09.28,78,339T
2015.09.21,79,346
2015.09.14,79,342
2015.08.31,82,347
2015.08.24,81,344
2015.08.17,85,342
2015.08.10,86,338
2015.08.03,96,339
2015.07.27,98,343
2015.07.20,123,343
2015.07.13,81,346
2015.06.29,74,240
2015.06.22,76,239
2015.06.15,81,237
2015.06.08,84,237
2015.05.25,89,239
2015.05.18,85,239
2015.05.11,105,259
2015.05.04,110,258
2015.04.27,119,493
2015.04.20,118,488
2015.04.13,122,487
2015.04.06,119,482
2015.03.23,129,491
2015.03.09,136,489
2015.03.02,136,486
2015.02.23,136,484
2015.02.16,138,487
2015.02.09,137,490
2015.02.02,135,488
2015.01.19,137,487
2015.01.12,137,488
2015.01.05,134,481
2014.12.29,136,486
2014.12.22,136,487
2014.12.15,137,487
2014.12.08,137,486
2014.12.01,137,486
2014.11.24,137,486
2014.11.17,139,486
2014.11.10,137,483
2014.11.03,136,483
2014.10.27,137,478
2014.10.20,135,482
2014.10.13,136,479
2014.10.06,143,484
2014.09.29,149,484
2014.09.22,149,477
2014.09.15,150,482
2014.09.08,150,484
2014.08.25,157,479
2014.08.18,157,478
2014.08.11,157,478
2014.08.04,159,477
