Date,Singles,Doubles
2020.11.30,4,204
2020.11.23,4,202
2020.11.16,4,201
2020.11.09,4,201
2020.11.02,5,198
2020.10.26,6,198
2020.10.19,6,195
2020.10.12,6,193
2020.09.28,5,187
2020.09.21,5,186
2020.09.14,5,186
2020.08.31,5,184
2020.08.24,5,180
2020.03.16,5,181
2020.03.09,5,180
2020.03.02,5,176
2020.02.24,5,179
2020.02.17,5,179
2020.02.10,5,179
2020.02.03,5,178
2020.01.20,4,177
2020.01.13,4,177
2020.01.06,5,186
2019.12.30,5,188
2019.12.23,5,188
2019.12.16,5,188
2019.12.09,5,188
2019.12.02,5,189
2019.11.25,5,189
2019.11.18,5,192
2019.11.11,4,190
2019.11.04,4,191
2019.10.28,4,190
2019.10.21,4,188
2019.10.14,4,177
2019.10.07,4,176
2019.09.30,4,175
2019.09.23,4,171
2019.09.16,4,176
2019.09.09,4,175
2019.08.26,5,170
2019.08.19,5,170
2019.08.12,8,199
2019.08.05,9,195
2019.07.29,10,187
2019.07.22,9,189
2019.07.15,10,187
2019.07.01,13,188
2019.06.24,13,188
2019.06.17,13,191
2019.06.10,13,193
2019.05.27,14,192
2019.05.20,14,194
2019.05.13,14,193
2019.05.06,14,275
2019.04.29,14,276
2019.04.22,14,276
2019.04.15,14,386
2019.04.08,14,388
2019.04.01,14,388
2019.03.18,15,388
2019.03.11,15,388
2019.03.04,15,388
2019.02.25,15,389
2019.02.18,15,390
2019.02.11,16,391
2019.02.04,16,396
2019.01.28,16,396
2019.01.14,19,392
2019.01.07,16,389
2018.12.31,16,389
2018.12.24,16,389
2018.12.17,16,609
2018.12.10,16,607
2018.12.03,16,609
2018.11.26,16,612
2018.11.19,16,612
2018.11.12,16,615
2018.11.05,16,606
2018.10.29,17,606
2018.10.22,20,603
2018.10.15,21,604
2018.10.08,22,611
2018.10.01,32,612
2018.09.24,32,625
2018.09.17,35,626T
2018.09.10,35,634T
2018.08.27,36,363
2018.08.20,57,365
2018.08.13,56,364
2018.08.06,68,365
2018.07.30,63,359
2018.07.23,61,359
2018.07.16,61,362
2018.07.02,67,367
2018.06.25,59,363
2018.06.18,53,366
2018.06.11,52,364
2018.05.28,53,360
2018.05.21,53,358
2018.05.14,50,358
2018.05.07,51,358
2018.04.30,50,353
2018.04.23,48,348
2018.04.16,49,352
2018.04.09,48,352
2018.04.02,49,353
2018.03.19,52,346
2018.03.05,57,343
2018.02.26,52,342
2018.02.19,50,344
2018.02.12,57,347
2018.02.05,56,350
2018.01.29,56,350
2018.01.15,53,351
2018.01.08,84,349
2018.01.01,65,348
2017.12.25,65,348
2017.12.18,65,351
2017.12.11,65,347
2017.12.04,65,348
2017.11.27,65,346
2017.11.20,65,346
2017.11.13,65,347
2017.11.06,65,351
2017.10.30,63,351
2017.10.23,67,346
2017.10.16,67,293T
2017.10.09,64,298
2017.10.02,64,301
2017.09.25,62,270
2017.09.18,62,265
2017.09.11,61,275
2017.08.28,54,405
2017.08.21,53,405
2017.08.14,51,407
2017.08.07,48,409
2017.07.31,50,478
2017.07.24,48,388
2017.07.17,49,387
2017.07.10,49,385
2017.07.03,49,385
2017.06.26,52,382
2017.06.19,60,382
2017.06.12,65,385
2017.05.29,66,399
2017.05.22,65,393
2017.05.15,64,394
2017.05.08,65,396
2017.05.01,65,393
2017.04.24,63,393
2017.04.17,62,392
2017.04.10,61,390
2017.04.03,63,392
2017.03.20,60,361
2017.03.06,58,298
2017.02.27,57,296
2017.02.20,64,294
2017.02.13,60,296
2017.02.06,63,298
2017.01.30,63,303
2017.01.16,63,300
2017.01.09,65,298
2017.01.02,99,301
2016.12.26,99,301
2016.12.19,99,301
2016.12.12,99,300
2016.12.05,99,299
2016.11.28,99,300
2016.11.21,100,300
2016.11.14,98,299
2016.11.07,104,300
2016.10.31,108,300
2016.10.24,106,300
2016.10.17,123,356
2016.10.10,122,354
2016.10.03,130,355
2016.09.26,136,392
2016.09.19,144,395
2016.09.12,143,370
2016.08.29,156,367
2016.08.22,157,337
2016.08.15,157,336
2016.08.08,171,337
2016.08.01,171,336
2016.07.25,174,392
2016.07.18,171,370
2016.07.11,215,355
2016.06.27,228,354
2016.06.20,228,328
2016.06.13,231,332
2016.06.06,256,313
2016.05.23,240,309
2016.05.16,244,310
2016.05.09,265,315
2016.05.02,259,285
2016.04.25,265,288
2016.04.18,260,291
2016.04.11,244,280
2016.04.04,249,278
2016.03.21,255,296
2016.03.07,280,368
2016.02.29,281,368
2016.02.22,313,376
2016.02.15,311,382
2016.02.08,312,364
2016.02.01,315,341
2016.01.18,318,338
2016.01.11,329,336
2016.01.04,329,331
2015.12.28,329,331
2015.12.21,331,335
2015.12.14,331,337
2015.12.07,333,338
2015.11.30,331,339
2015.11.23,328,340
2015.11.16,329,341
2015.11.09,331,340
2015.11.02,331,340
2015.10.26,336,342
2015.10.19,334,421
2015.10.12,349,409
2015.10.05,347,410
2015.09.28,344,410
2015.09.21,342,410
2015.09.14,335,381
2015.08.31,409,385
2015.08.24,412,408
2015.08.17,413,400
2015.08.10,376,397
2015.08.03,363,375
2015.07.27,371,379
2015.07.20,374,401
2015.07.13,374,421
2015.06.29,388,431
2015.06.22,384,463
2015.06.15,381,463
2015.06.08,408,495
2015.05.25,471,498
2015.05.18,468,500
2015.05.11,477,491
2015.05.04,493,591
2015.04.27,487,590
2015.04.20,515,586
2015.04.13,602,634
2015.04.06,616,654
2015.03.23,630,655
2015.03.09,638,657
2015.03.02,643,651
2015.02.23,642,645
2015.02.16,649,645
2015.02.09,656,689
2015.02.02,659,756
2015.01.19,657,755
2015.01.12,655,756
2015.01.05,655,751
2014.12.29,655,751
2014.12.22,654,751
2014.12.15,651,743
