Date,Singles,Doubles
2020.11.30,74,396
2020.11.23,74,392
2020.11.16,74,390
2020.11.09,73,389
2020.11.02,74,388
2020.10.26,73,386
2020.10.19,73,386
2020.10.12,70,382
2020.09.28,74,376
2020.09.21,73,375
2020.09.14,84,372
2020.08.31,87,368
2020.08.24,86,366
2020.03.16,86,366
2020.03.09,86,363
2020.03.02,86,359
2020.02.24,84,363
2020.02.17,85,359
2020.02.10,86,360
2020.02.03,82,494
2020.01.20,74,502
2020.01.13,75,500
2020.01.06,82,494
2019.12.30,84,423
2019.12.23,84,425
2019.12.16,84,426
2019.12.09,84,429
2019.12.02,84,427
2019.11.25,84,428
2019.11.18,84,427
2019.11.11,83,422
2019.11.04,86,423
2019.10.28,88,418
2019.10.21,83,416
2019.10.14,83,419
2019.10.07,85,501
2019.09.30,87,388
2019.09.23,84,384
2019.09.16,80,381
2019.09.09,80,380
2019.08.26,81,454
2019.08.19,81,455
2019.08.12,81,457
2019.08.05,79,457
2019.07.29,95,358
2019.07.22,98,357
2019.07.15,105,359
2019.07.01,102,358
2019.06.24,100,357
2019.06.17,103,357
2019.06.10,112,357
2019.05.27,119,352
2019.05.20,120,352
2019.05.13,124,356
2019.05.06,124,352
2019.04.29,128,354
2019.04.22,154,381
2019.04.15,154,378
2019.04.08,155,380
2019.04.01,154,322
2019.03.18,132,325
2019.03.11,135,329
2019.03.04,135,329
2019.02.25,132,332
2019.02.18,118,330
2019.02.11,120,331
2019.02.04,122,261
2019.01.28,123,260
2019.01.14,137,258
2019.01.07,139,259
2018.12.31,133,279
2018.12.24,133,279
2018.12.17,134,332
2018.12.10,134,333
2018.12.03,134,334
2018.11.26,134,336
2018.11.19,135,312
2018.11.12,134,278
2018.11.05,132,249
2018.10.29,133,248
2018.10.22,144,250
2018.10.15,144,251
2018.10.08,142,255
2018.10.01,143,281
2018.09.24,144,282
2018.09.17,150,284
2018.09.10,147,284
2018.08.27,141,307
2018.08.20,141,309
2018.08.13,143,307
2018.08.06,145,309
2018.07.30,140,310
2018.07.23,142,308
2018.07.16,141,293
2018.07.02,137,296
2018.06.25,138,296
2018.06.18,141,267
2018.06.11,141,265
2018.05.28,143,260
2018.05.21,145,261
2018.05.14,146,262
2018.05.07,141,257
2018.04.30,113,254
2018.04.23,108,250
2018.04.16,109,247
2018.04.09,110,251
2018.04.02,109,283
2018.03.19,123,277
2018.03.05,123,269
2018.02.26,119,267
2018.02.19,129,269
2018.02.12,132,270
2018.02.05,135,382
2018.01.29,133,352
2018.01.15,132,352
2018.01.08,131,350
2018.01.01,134,350
2017.12.25,134,350
2017.12.18,134,354
2017.12.11,134,351
2017.12.04,134,351
2017.11.27,135,349
2017.11.20,133,377
2017.11.13,136,448
2017.11.06,137,611
2017.10.30,134,616
2017.10.23,135,612
2017.10.16,131,618
2017.10.09,133,620
2017.10.02,129,613
2017.09.25,129,615
2017.09.18,129,610
2017.09.11,125,619
2017.08.28,144,623
2017.08.21,143,625
2017.08.14,143,624
2017.08.07,139,627
2017.07.31,144,620
2017.07.24,146,616
2017.07.17,146,709
2017.07.10,155,733
2017.07.03,155,733
2017.06.26,155,721
2017.06.19,155,930T
2017.06.12,157,933
2017.05.29,159,946
2017.05.22,159,939
2017.05.15,161,930T
2017.05.08,165,924T
2017.05.01,208,920
2017.04.24,225,922T
2017.04.17,225,926T
2017.04.10,225,932
2017.04.03,248,933T
2017.03.20,260,934T
2017.03.06,272,1011T
2017.02.27,296,1010
2017.02.20,291,1009
2017.02.13,301,1011
2017.02.06,325,1186T
2017.01.30,327,0
2017.01.16,329,0
2017.01.09,330,0
2017.01.02,329,0
2016.12.26,326,0
2016.12.19,325,0
2016.12.12,326,0
2016.12.05,328,0
2016.11.28,327,0
2016.11.21,326,0
2016.11.14,297,1643T
2016.11.07,327,1641T
2016.10.31,326,1068T
2016.10.24,331,1056
2016.10.17,369,1056T
2016.10.10,391,1052T
2016.10.03,384,1058T
2016.09.26,391,1055T
2016.09.19,398,1055T
2016.09.12,459,1048T
2016.08.29,483,1060T
2016.08.22,505,1060T
2016.08.15,549,1069T
2016.08.08,550,1069T
2016.08.01,548,1064T
2016.07.25,562,1071T
2016.07.18,558,1077T
2016.07.11,533,1076T
2016.06.27,522,1076T
2016.06.20,519,1071T
2016.06.13,491,1082T
2016.06.06,494,818
2016.05.23,482,778
2016.05.16,486,780
2016.05.09,489,788
2016.05.02,495,792
2016.04.25,495,793
2016.04.18,494,788
2016.04.11,492,792
2016.04.04,497,793
2016.03.21,491,790
2016.03.07,490,777
2016.02.29,492,778
2016.02.22,494,784
2016.02.15,491,781
2016.02.08,480,723
2016.02.01,480,726
2016.01.18,487,724
2016.01.11,461,726
2016.01.04,457,732
2015.12.28,457,732
2015.12.21,459,732
2015.12.14,460,728
2015.12.07,459,734
2015.11.30,460,732
2015.11.23,518,728
2015.11.16,575,618
2015.11.09,572,538
2015.11.02,567,624
2015.10.26,569,621
2015.10.19,570,624
2015.10.12,460,622
2015.10.05,459,615
2015.09.28,516,609
2015.09.21,471,524
2015.09.14,368,356
2015.08.31,379,323
2015.08.24,377,318
2015.08.17,377,317
2015.08.10,379,310
2015.08.03,374,314
2015.07.27,369,314
2015.07.20,356,279
2015.07.13,368,281
2015.06.29,328,292
2015.06.22,323,289
2015.06.15,332,284
2015.06.08,332,320
2015.05.25,339,331
2015.05.18,339,330
2015.05.11,284,324
2015.05.04,287,318
2015.04.27,288,317
2015.04.20,265,275
2015.04.13,243,260
2015.04.06,238,262
2015.03.23,230,265
2015.03.09,222,263
2015.03.02,219,259
2015.02.23,219,259
2015.02.16,219,258
2015.02.09,205,262
2015.02.02,194,249
2015.01.19,195,249
2015.01.12,199,248
2015.01.05,196,244
2014.12.29,198,247
2014.12.22,197,245
2014.12.15,197,245
2014.12.08,197,244
2014.12.01,197,243
2014.11.24,198,245
2014.11.17,196,263
2014.11.10,196,269
2014.11.03,197,273
2014.10.27,201,273
2014.10.20,202,273
2014.10.13,220,271
2014.10.06,215,261
2014.09.29,219,263
2014.09.22,228,274
2014.09.15,264,333
2014.09.08,253,364
2014.08.25,253,312
2014.08.18,254,313
2014.08.11,254,314
2014.08.04,254,306
2014.07.28,248,306
2014.07.21,251,343
2014.07.14,253,344
2014.07.07,228,327
2014.06.23,255,328
2014.06.16,251,325
2014.06.09,253,310
2014.05.26,258,316
2014.05.19,252,312
2014.05.12,293,314
2014.05.05,296,313
2014.04.28,295,317
2014.04.21,317,377
2014.04.14,332,404
2014.04.07,334,409
2014.03.31,335,407
2014.03.17,346,416
2014.03.03,364,432
2014.02.24,307,427
2014.02.17,305,421
2014.02.10,327,428
2014.02.03,365,468
2014.01.27,371,487
2014.01.13,370,494
2014.01.06,372,494
2013.12.30,374,494
2013.12.23,375,492
2013.12.16,375,491
2013.12.09,381,488
2013.12.02,376,492
2013.11.25,368,494
2013.11.18,378,496
2013.11.11,377,496
2013.11.04,377,499
2013.10.28,354,506
2013.10.21,318,503
2013.10.14,317,503
2013.10.07,326,539
2013.09.30,323,536
2013.09.23,327,540
2013.09.16,322,602
2013.09.09,339,650
2013.08.26,342,903T
2013.08.19,340,895
2013.08.12,336,901
2013.08.05,342,1007
2013.07.29,349,999
2013.07.22,352,1011T
2013.07.15,349,1007T
2013.07.08,425,1416T
2013.06.24,425,1400T
2013.06.17,429,1385T
2013.06.10,429,0
2013.05.27,433,0
2013.05.20,433,0
2013.05.13,433,0
2013.05.06,437,0
2013.04.29,430,0
2013.04.22,439,0
2013.04.15,470,0
2013.04.08,476,0
2013.04.01,480,0
2013.03.18,479,0
2013.03.04,477,0
2013.02.25,607,0
2013.02.18,611,0
2013.02.11,611,0
2013.02.04,610,0
2013.01.28,609,0
2013.01.14,607,0
2013.01.07,607,0
2012.12.31,607,0
2012.12.24,606,0
2012.12.17,607,0
2012.12.10,604,0
2012.12.03,626,0
2012.11.26,633,0
2012.11.19,630,0
2012.11.12,633,0
2012.11.05,627,0
2012.10.29,702,0
2012.10.22,1007T,0
2012.10.15,1100T,0
2012.10.08,1103T,0
2012.10.01,1106T,0
2012.09.24,1099T,0
2012.09.17,0,0
2012.09.10,0,0
2012.07.23,1178,1273T
2012.07.16,1011,974T
2012.07.09,1010,966T
2012.06.25,801,608
2012.06.18,795,605
2012.06.11,742,603
2012.05.28,600,603
2012.05.21,596,599
2012.05.14,601,607
2012.05.07,597,605
2012.04.30,550,606
2012.04.23,554,601
2012.04.16,555,604
2012.04.09,529,602
2012.04.02,467,539
2012.03.19,464,538
2012.03.05,432,542
2012.02.27,401,537
2012.02.20,398,535
2012.02.13,395,515
2012.02.06,395,512
2012.01.30,394,516
2012.01.16,401,523
2012.01.09,401,522
2012.01.02,403,519
2011.12.26,403,519
2011.12.19,384,519
2011.12.12,383,518
2011.12.05,379,520
2011.11.28,344,499
2011.11.21,339,483
2011.11.14,337,482
2011.11.07,336,476
2011.10.31,335,476
2011.10.24,336,462
2011.10.17,338,464
2011.10.10,338,468
2011.10.03,339,470
2011.09.26,339,465
2011.09.19,335,464
2011.09.12,336,457
2011.08.29,338,454
2011.08.22,319,455
2011.08.15,319,453
2011.08.08,319,456
2011.08.01,319,455
2011.07.25,316,481
2011.07.18,315,536
2011.07.11,307,536
2011.07.04,306,791
2011.06.20,321,802
2011.06.13,332,792
2011.06.06,357,797
2011.05.23,361,783
2011.05.16,359,772
2011.05.09,363,765
2011.05.02,387,772T
2011.04.25,387,770
2011.04.18,384,766
2011.04.11,395,767
2011.04.04,432,979
2011.03.21,429,973
2011.03.07,451,971
2011.02.28,473,975
2011.02.21,473,978
2011.02.14,485,1061
2011.02.07,488,1056
2011.01.31,488,1056
2011.01.17,490,1052
2011.01.10,492,1049T
2011.01.03,492,1052T
2010.12.27,492,1052
2010.12.20,520,1047
2010.12.13,526,1048T
2010.12.06,528,1045
2010.11.29,611,1173T
2010.11.22,622,1441T
2010.11.15,617,1441T
2010.11.08,621,1421T
2010.11.01,625,1422T
2010.10.25,641,0
2010.10.18,649,0
2010.10.11,640,0
2010.10.04,636,0
2010.09.27,640,0
2010.09.20,643,0
2010.09.13,640,0
2010.09.06,639,0
2010.08.30,639,0
2010.08.23,699,0
2010.08.16,707,1499T
2010.08.09,705,1493T
2010.08.02,703,1481T
2010.07.26,760,1482T
2010.07.19,778,1476T
2010.07.12,905,1463T
2010.07.05,934,1467T
2010.06.28,972T,0
2010.06.21,972T,1463T
2010.06.14,962,1454T
2010.06.07,961T,1465T
2010.05.31,970T,0
2010.05.24,970T,1483T
2010.05.17,1073T,1478T
2010.05.10,1075T,1497T
2010.05.03,1067T,1502T
2010.04.26,1070T,1520T
