Date,Singles,Doubles
2020.11.30,86,233
2020.11.23,86,233
2020.11.16,86,232
2020.11.09,87,276
2020.11.02,84,276
2020.10.26,98,274
2020.10.19,100,274
2020.10.12,98,273
2020.09.28,93,268
2020.09.21,92,265
2020.09.14,91,263
2020.08.31,92,260
2020.08.24,100,259
2020.03.16,101,258
2020.03.09,101,255
2020.03.02,101,254
2020.02.24,102,251
2020.02.17,101,250
2020.02.10,102,248
2020.02.03,101,251
2020.01.20,104,253
2020.01.13,104,253
2020.01.06,121,254
2019.12.30,123,260
2019.12.23,123,260
2019.12.16,123,259
2019.12.09,123,259
2019.12.02,124,259
2019.11.25,124,259
2019.11.18,125,260
2019.11.11,141,261
2019.11.04,147,260
2019.10.28,148,262
2019.10.21,148,259
2019.10.14,146,257
2019.10.07,141,257
2019.09.30,144,258
2019.09.23,142,254
2019.09.16,165,252
2019.09.09,163,251
2019.08.26,209,257
2019.08.19,208,258
2019.08.12,209,259
2019.08.05,237,260
2019.07.29,293,244
2019.07.22,297,246
2019.07.15,299,295
2019.07.01,300,296
2019.06.24,300,298
2019.06.17,410,333
2019.06.10,408,336
2019.05.27,404,332
2019.05.20,395,333
2019.05.13,400,369T
2019.05.06,400,0
2019.04.29,399,0
2019.04.22,399,0
2019.04.15,405,0
2019.04.08,408,0
2019.04.01,408,728T
2019.03.18,408,735T
2019.03.11,407,730T
2019.03.04,407,730T
2019.02.25,405,734T
2019.02.18,402,734T
2019.02.11,402,732T
2019.02.04,405,730T
2019.01.28,406,730T
2019.01.14,405,734T
2019.01.07,385,731T
2018.12.31,385,733T
2018.12.24,385,733T
2018.12.17,364,614
2018.12.10,365,612
2018.12.03,366,615
2018.11.26,368,617
2018.11.19,322,617
2018.11.12,316,620
2018.11.05,321,614
2018.10.29,320,614
2018.10.22,318,614
2018.10.15,319,614
2018.10.08,351,622
2018.10.01,352,625
2018.09.24,388,637
2018.09.17,392,639
2018.09.10,391,645
2018.08.27,439,640
2018.08.20,437,642
2018.08.13,434,639
2018.08.06,434,640
2018.07.30,433,638
2018.07.23,436,649
2018.07.16,452,677
2018.07.02,449,683
2018.06.25,452,688
2018.06.18,456,694
2018.06.11,447,700
2018.05.28,512,688
2018.05.21,576,683
2018.05.14,583,831
2018.05.07,579,824
2018.04.30,579,825
2018.04.23,581,824
2018.04.16,586,817
2018.04.09,587,814
2018.04.02,592,1124T
2018.03.19,594,0
2018.03.05,597,0
2018.02.26,611,0
2018.02.19,610,0
2018.02.12,609,0
2018.02.05,608,0
2018.01.29,611,0
2018.01.15,605,0
2018.01.08,671,0
2018.01.01,671,0
2017.12.25,670,0
2017.12.18,668,0
2017.12.11,664,0
2017.12.04,664,0
2017.11.27,665,0
2017.11.20,1082,0
2017.11.13,1183,0
2017.11.06,1183,0
2017.10.30,1189T,0
2017.10.23,1197,0
2017.10.16,1199,0
2017.10.09,1464T,0
2017.10.02,1476T,0
2017.09.25,1478T,0
2017.09.18,1485T,0
2017.09.11,1490T,0
2017.08.28,1493T,0
2017.08.21,1369T,1518T
2017.08.14,1374T,1520T
2017.08.07,1298T,1514T
2017.07.31,1290T,1512T
2017.07.24,1291T,1507T
2017.07.17,1292T,1507T
2017.07.10,1532T,1512T
2017.07.03,1532T,1512T
2017.06.26,1512T,1489T
2017.06.19,1497T,1484T
2017.06.12,1498T,1489T
2017.05.29,1505T,1498T
2017.05.22,1499T,1488T
2017.05.15,1501T,1493T
2017.05.08,1504T,1491T
2017.05.01,1505T,1493T
2017.04.24,1506T,1501T
2017.04.17,1508T,1510T
2017.04.10,1503T,1511T
2017.04.03,1499T,1509T
2017.03.20,1497T,1513T
2017.03.06,1508T,1521T
2017.02.27,1507T,1523T
2017.02.20,1510T,1518T
2017.02.13,1510T,1523T
2017.02.06,1507T,1522T
2017.01.30,1511T,1511T
2017.01.16,1511T,1505T
2017.01.09,1509T,1505T
2017.01.02,1508T,1508T
2016.12.26,1506T,1497T
2016.12.19,1505T,1492T
2016.12.12,1508T,1493T
2016.12.05,1514T,1500T
2016.11.28,1513T,1500T
2016.11.21,1516T,1495T
2016.11.14,1514T,1502T
2016.11.07,1506T,1505T
2016.10.31,1497T,1518T
2016.10.24,1491T,1516T
2016.10.17,1501T,1513T
2016.10.10,1499T,1512T
2016.10.03,1479T,1491T
2016.09.26,1479T,1493T
2016.09.19,1482T,1483T
2016.09.12,1498T,1495T
2016.08.29,1522T,1504T
2016.08.22,1791T,0
2016.08.15,1792T,0
2016.08.08,0,0
2016.08.01,0,0
2016.07.25,0,0
2016.07.18,0,0
2016.07.11,0,0
2016.06.27,0,0
2016.06.20,0,0
2016.06.13,0,0
2016.06.06,0,0
2016.05.23,0,0
2016.05.16,0,0
2016.05.09,0,0
2016.05.02,0,0
2016.04.25,0,0
2016.04.18,0,0
2016.04.11,0,0
2016.04.04,0,0
2016.03.21,0,0
2016.03.07,0,0
2016.02.29,0,0
2016.02.22,0,0
2016.02.15,0,0
2016.02.08,0,0
2016.02.01,0,0
2016.01.18,0,0
2016.01.11,0,0
2016.01.04,0,0
2015.12.28,0,0
2015.12.21,0,0
2015.12.14,0,0
2015.12.07,0,0
2015.11.30,0,0
2015.11.23,0,0
2015.11.16,0,0
2015.11.09,0,0
2015.11.02,0,0
2015.10.26,0,0
2015.10.19,0,0
2015.10.12,0,0
2015.10.05,0,0
2015.09.28,0,0
2015.09.21,0,0
2015.09.14,0,0
2015.08.31,0,0
2015.08.24,0,0
2015.08.17,0,0
2015.08.10,0,0
2015.08.03,0,0
2015.07.27,0,0
2015.07.20,0,0
2015.07.13,0,0
2015.06.29,0,0
2015.06.22,0,0
2015.06.15,0,0
2015.06.08,0,0
2015.05.25,0,0
2015.05.18,0,0
2015.05.11,0,0
2015.05.04,0,0
2015.04.27,0,0
2015.04.20,0,0
2015.04.13,0,0
2015.04.06,0,0
2015.03.23,0,0
2015.03.09,0,0
2015.03.02,0,0
2015.02.23,0,0
2015.02.16,0,0
2015.02.09,0,0
2015.02.02,0,0
2015.01.19,0,0
2015.01.12,0,0
2015.01.05,0,0
2014.12.29,0,0
2014.12.22,0,0
2014.12.15,0,0
2014.12.08,0,0
2014.12.01,0,0
2014.11.24,0,0
2014.11.17,0,0
2014.11.10,0,0
2014.11.03,0,0
2014.10.27,0,0
2014.10.20,0,0
2014.10.13,0,0
2014.10.06,0,0
2014.09.29,0,0
2014.09.22,0,0
2014.09.15,0,0
2014.09.08,0,0
2014.08.25,0,0
2014.08.18,0,0
2014.08.11,0,0
2014.08.04,0,0
2014.07.28,0,0
