Date,Singles,Doubles
2020.11.30,17,141
2020.11.23,17,141
2020.11.16,17,138
2020.11.09,17,137
2020.11.02,16,135
2020.10.26,16,133
2020.10.19,16,132
2020.10.12,16,131
2020.09.28,15,128
2020.09.21,15,126
2020.09.14,13,126
2020.08.31,12,126
2020.08.24,11,123
2020.03.16,11,122
2020.03.09,11,122
2020.03.02,11,121
2020.02.24,11,124
2020.02.17,11,124
2020.02.10,11,136
2020.02.03,11,138
2020.01.20,12,135
2020.01.13,12,136
2020.01.06,12,146
2019.12.30,12,148
2019.12.23,12,148
2019.12.16,12,148
2019.12.09,12,148
2019.12.02,12,148
2019.11.25,12,148
2019.11.18,12,150
2019.11.11,12,150
2019.11.04,12,150
2019.10.28,12,148
2019.10.21,12,147
2019.10.14,12,145
2019.10.07,12,144
2019.09.30,12,173
2019.09.23,11,169
2019.09.16,11,125
2019.09.09,11,125
2019.08.26,11,113
2019.08.19,11,113
2019.08.12,10,114
2019.08.05,11,112
2019.07.29,9,108
2019.07.22,10,109
2019.07.15,9,102
2019.07.01,10,102
2019.06.24,10,102
2019.06.17,10,104
2019.06.10,10,102
2019.05.27,12,104
2019.05.20,11,105
2019.05.13,12,107
2019.05.06,12,95
2019.04.29,12,91
2019.04.22,12,90
2019.04.15,18,68
2019.04.08,18,65
2019.04.01,18,65
2019.03.18,17,65
2019.03.11,17,85
2019.03.04,17,85
2019.02.25,17,83
2019.02.18,16,81
2019.02.11,15,83
2019.02.04,15,83
2019.01.28,15,82
2019.01.14,13,76
2019.01.07,13,77
2018.12.31,13,77
2018.12.24,13,77
2018.12.17,13,77
2018.12.10,13,77
2018.12.03,13,77
2018.11.26,13,78
2018.11.19,13,78
2018.11.12,13,79
2018.11.05,13,78
2018.10.29,14,78
2018.10.22,15,80
2018.10.15,14,74
2018.10.08,13,68
2018.10.01,13,63
2018.09.24,13,63
2018.09.17,13,79
2018.09.10,13,78
2018.08.27,14,71
2018.08.20,14,70
2018.08.13,14,64
2018.08.06,14,65
2018.07.30,15,65
2018.07.23,14,67
2018.07.16,15,77
2018.07.02,16,75
2018.06.25,16,76
2018.06.18,15,77
2018.06.11,15,76
2018.05.28,18,77
2018.05.21,19,77
2018.05.14,21,75
2018.05.07,19,75
2018.04.30,19,73
2018.04.23,20,73
2018.04.16,20,89
2018.04.09,20,90
2018.04.02,20,90
2018.03.19,18,93
2018.03.05,19,101
2018.02.26,20,92
2018.02.19,21,92
2018.02.12,22,86
2018.02.05,22,87
2018.01.29,22,87
2018.01.15,25,97
