Date,Singles,Doubles
2020.11.30,61,191
2020.11.23,61,191
2020.11.16,61,191
2020.11.09,74,191
2020.11.02,73,185
2020.10.26,81,185
2020.10.19,80,183
2020.10.12,79,181
2020.09.28,76,206
2020.09.21,76,206
2020.09.14,73,205
2020.08.31,94,204
2020.08.24,92,202
2020.03.16,93,201
2020.03.09,93,200
2020.03.02,93,199
2020.02.24,92,198
2020.02.17,98,448T
2020.02.10,104,443T
2020.02.03,132,446T
2020.01.20,138,448T
2020.01.13,146,445T
2020.01.06,148,443T
2019.12.30,149,446
2019.12.23,149,446
2019.12.16,149,446
2019.12.09,149,447
2019.12.02,150,447
2019.11.25,150,447T
2019.11.18,150,447
2019.11.11,149,447
2019.11.04,153,444
2019.10.28,174,437
2019.10.21,168,437
2019.10.14,191,438T
2019.10.07,248,435T
2019.09.30,245,441T
2019.09.23,223,439T
2019.09.16,226,444T
2019.09.09,225,443T
2019.08.26,216,438T
2019.08.19,216,439T
2019.08.12,203,443T
2019.08.05,205,439T
2019.07.29,207,341T
2019.07.22,210,341T
2019.07.15,186,343T
2019.07.01,187,0
2019.06.24,188,0
2019.06.17,187,0
2019.06.10,182,0
2019.05.27,175,0
2019.05.20,178,0
2019.05.13,156,0
2019.05.06,138,627T
2019.04.29,134,633T
2019.04.22,132,631T
2019.04.15,131,632T
2019.04.08,132,630T
2019.04.01,131,628T
2019.03.18,123,632T
2019.03.11,114,630T
2019.03.04,114,630T
2019.02.25,104,633T
2019.02.18,100,633T
2019.02.11,101,628T
2019.02.04,94,627T
2019.01.28,94,626T
2019.01.14,74,634T
2019.01.07,71,633T
2018.12.31,70,637T
2018.12.24,70,637T
2018.12.17,70,1238T
2018.12.10,70,1240T
2018.12.03,70,1246T
2018.11.26,70,1248T
2018.11.19,70,1244T
2018.11.12,70,1246T
2018.11.05,71,1247T
2018.10.29,75,1250T
2018.10.22,73,1247T
2018.10.15,79,1250T
2018.10.08,82,1252T
2018.10.01,83,1252T
2018.09.24,86,1250T
2018.09.17,85,1250T
2018.09.10,85,1253T
2018.08.27,88,1264T
2018.08.20,88,1255T
2018.08.13,94,1245T
