Date,Singles,Doubles
2020.11.30,75,34
2020.11.23,75,34
2020.11.16,75,34
2020.11.09,75,34
2020.11.02,72,33
2020.10.26,72,33
2020.10.19,72,33
2020.10.12,69,32
2020.09.28,65,32
2020.09.21,64,32
2020.09.14,63,36
2020.08.31,60,35
2020.08.24,59,34
2020.03.16,59,34
2020.03.09,59,34
2020.03.02,59,34
2020.02.24,59,34
2020.02.17,64,33
2020.02.10,61,24
2020.02.03,60,24
2020.01.20,58,30
2020.01.13,56,29
2020.01.06,54,30
2019.12.30,51,30
2019.12.23,51,30
2019.12.16,51,30
2019.12.09,51,30
2019.12.02,51,30
2019.11.25,51,30
2019.11.18,51,30
2019.11.11,51,30
2019.11.04,52,30
2019.10.28,65,32
2019.10.21,65,33
2019.10.14,66,33
2019.10.07,71,33
2019.09.30,72,34
2019.09.23,73,34
2019.09.16,73,34
2019.09.09,73,34
2019.08.26,74,35
2019.08.19,74,35
2019.08.12,69,34
2019.08.05,74,32
2019.07.29,74,32
2019.07.22,77,31
2019.07.15,80,31
2019.07.01,81,29
2019.06.24,81,28
2019.06.17,65,28
2019.06.10,49,29
2019.05.27,41,59
2019.05.20,40,59
2019.05.13,42,64
2019.05.06,47,63
2019.04.29,42,75
2019.04.22,42,76
2019.04.15,41,78
2019.04.08,42,78
2019.04.01,42,78
2019.03.18,40,76
2019.03.11,37,75
2019.03.04,37,75
2019.02.25,33,72
2019.02.18,35,97
2019.02.11,35,162
2019.02.04,35,152
2019.01.28,35,152
2019.01.14,36,138
2019.01.07,36,135
2018.12.31,40,135
2018.12.24,40,135
2018.12.17,40,135
2018.12.10,40,135
2018.12.03,40,135
2018.11.26,40,136
2018.11.19,40,138
2018.11.12,42,138
2018.11.05,42,137
2018.10.29,40,139
2018.10.22,41,131
2018.10.15,42,132
2018.10.08,41,131
2018.10.01,42,132
2018.09.24,42,132
2018.09.17,41,133
2018.09.10,41,132
2018.08.27,46,126
2018.08.20,44,127
2018.08.13,46,127
2018.08.06,46,130
2018.07.30,43,128
2018.07.23,43,154
2018.07.16,46,160
2018.07.02,46,155
2018.06.25,46,152
2018.06.18,61,151
2018.06.11,72,149
2018.05.28,86,154
2018.05.21,86,154
2018.05.14,89,154
2018.05.07,74,140
2018.04.30,87,113
2018.04.23,85,114
2018.04.16,84,114
2018.04.09,81,107
2018.04.02,80,108
2018.03.19,90,106
2018.03.05,100,100
2018.02.26,97,104
2018.02.19,96,96
2018.02.12,95,100
2018.02.05,91,98
2018.01.29,91,100
2018.01.15,84,113
2018.01.08,77,113
2018.01.01,78,93
2017.12.25,78,93
2017.12.18,78,93
2017.12.11,78,93
2017.12.04,78,93
2017.11.27,78,93
2017.11.20,77,92
2017.11.13,77,93
2017.11.06,76,92
2017.10.30,88,91
2017.10.23,87,92
2017.10.16,84,92
2017.10.09,83,94
2017.10.02,83,91
2017.09.25,86,90
2017.09.18,83,94
2017.09.11,84,93
2017.08.28,79,89
2017.08.21,79,89
2017.08.14,80,91
2017.08.07,79,91
2017.07.31,76,89
2017.07.24,76,88
2017.07.17,71,89
2017.07.10,71,80
2017.07.03,71,80
2017.06.26,70,80
2017.06.19,80,79
2017.06.12,80,78
2017.05.29,74,73
2017.05.22,73,73
2017.05.15,72,73
2017.05.08,70,77
2017.05.01,71,93
2017.04.24,70,94
2017.04.17,71,92
2017.04.10,66,98
2017.04.03,68,98
2017.03.20,77,79
2017.03.06,80,72
2017.02.27,78,72
2017.02.20,77,74
2017.02.13,68,72
2017.02.06,68,68
2017.01.30,71,72
2017.01.16,72,78
2017.01.09,71,79
2017.01.02,69,105
2016.12.26,69,105
2016.12.19,69,105
2016.12.12,69,105
2016.12.05,69,105
2016.11.28,69,105
2016.11.21,69,104
2016.11.14,72,104
2016.11.07,75,104
2016.10.31,75,106
2016.10.24,75,105
2016.10.17,73,100
2016.10.10,80,85
2016.10.03,78,88
2016.09.26,75,89
2016.09.19,75,92
2016.09.12,75,92
2016.08.29,55,99
2016.08.22,56,99
2016.08.15,53,100
2016.08.08,39,100
2016.08.01,39,100
2016.07.25,39,99
2016.07.18,38,79
2016.07.11,34,84
2016.06.27,34,79
2016.06.20,34,80
2016.06.13,33,71
2016.06.06,33,73
2016.05.23,32,64
2016.05.16,32,64
2016.05.09,32,50
2016.05.02,33,47
2016.04.25,33,45
2016.04.18,33,46
2016.04.11,33,46
2016.04.04,34,45
2016.03.21,31,45
2016.03.07,32,48
2016.02.29,32,48
2016.02.22,30,47
2016.02.15,30,50
2016.02.08,28,49
2016.02.01,29,50
2016.01.18,31,46
2016.01.11,31,46
2016.01.04,31,46
2015.12.28,31,46
2015.12.21,31,46
2015.12.14,31,46
2015.12.07,31,46
2015.11.30,31,46
2015.11.23,31,46
2015.11.16,31,46
2015.11.09,31,46
2015.11.02,32,46
2015.10.26,31,46
2015.10.19,29,42
2015.10.12,29,42
2015.10.05,27,41
2015.09.28,26,40
2015.09.21,26,39
2015.09.14,26,39
2015.08.31,27,42
2015.08.24,27,41
2015.08.17,27,41
2015.08.10,49,41
2015.08.03,45,41
2015.07.27,44,41
2015.07.20,43,45
2015.07.13,44,45
2015.06.29,38,43
2015.06.22,37,41
2015.06.15,37,45
2015.06.08,37,45
2015.05.25,45,48
2015.05.18,43,49
2015.05.11,38,66
2015.05.04,32,69
2015.04.27,32,68
2015.04.20,32,68
2015.04.13,35,63
2015.04.06,35,63
2015.03.23,38,74
2015.03.09,34,75
2015.03.02,33,75
2015.02.23,34,80
2015.02.16,35,75
2015.02.09,34,74
2015.02.02,34,69
2015.01.19,31,72
2015.01.12,31,71
2015.01.05,31,68
2014.12.29,29,66
2014.12.22,29,66
2014.12.15,29,66
2014.12.08,29,66
2014.12.01,29,66
2014.11.24,29,66
2014.11.17,29,67
2014.11.10,29,66
2014.11.03,29,66
2014.10.27,30,63
2014.10.20,34,85
2014.10.13,34,85
2014.10.06,32,84
2014.09.29,34,95
2014.09.22,35,95
2014.09.15,35,100
2014.09.08,35,100
2014.08.25,36,102
2014.08.18,35,102
2014.08.11,33,90
2014.08.04,36,91
2014.07.28,38,92
2014.07.21,37,90
2014.07.14,37,93
2014.07.07,35,116
2014.06.23,42,117
2014.06.16,43,115
2014.06.09,44,117
2014.05.26,42,134
2014.05.19,40,133
2014.05.12,47,130
2014.05.05,49,79
2014.04.28,49,79
2014.04.21,48,77
2014.04.14,48,88
2014.04.07,49,89
2014.03.31,49,89
2014.03.17,48,90
2014.03.03,48,90
2014.02.24,46,92
2014.02.17,45,99
2014.02.10,45,107
2014.02.03,44,122
2014.01.27,43,121
2014.01.13,31,100
2014.01.06,31,91
2013.12.30,34,92
2013.12.23,34,92
2013.12.16,34,92
2013.12.09,34,92
2013.12.02,34,92
2013.11.25,34,92
2013.11.18,34,92
2013.11.11,34,92
2013.11.04,34,94
2013.10.28,33,109
2013.10.21,36,106
2013.10.14,36,104
2013.10.07,38,105
2013.09.30,38,95
2013.09.23,38,96
2013.09.16,39,98
2013.09.09,39,97
2013.08.26,36,98
2013.08.19,36,98
2013.08.12,30,108
2013.08.05,28,98
2013.07.29,28,99
2013.07.22,26,96
2013.07.15,27,77
2013.07.08,26,64
2013.06.24,25,66
2013.06.17,27,65
2013.06.10,27,65
2013.05.27,27,61
2013.05.20,27,60
2013.05.13,29,60
2013.05.06,29,89
2013.04.29,26,88
2013.04.22,26,75
2013.04.15,25,73
2013.04.08,25,75
2013.04.01,25,77
2013.03.18,25,78
2013.03.04,25,81
2013.02.25,25,69
2013.02.18,25,67
2013.02.11,25,64
2013.02.04,26,60
2013.01.28,25,62
2013.01.14,36,77
2013.01.07,37,80
2012.12.31,32,87
2012.12.24,32,87
2012.12.17,32,87
2012.12.10,32,87
2012.12.03,32,87
2012.11.26,32,87
2012.11.19,32,87
2012.11.12,31,86
2012.11.05,31,84
2012.10.29,34,84
2012.10.22,33,84
2012.10.15,32,81
2012.10.08,31,79
2012.10.01,31,85
2012.09.24,30,86
2012.09.17,30,88
2012.09.10,30,86
2012.08.27,32,87
2012.08.20,33,86
2012.08.13,38,87
2012.08.06,47,98
2012.07.30,47,99
2012.07.23,46,99
2012.07.16,52,123
2012.07.09,51,196
2012.06.25,57,197
2012.06.18,58,195
2012.06.11,55,194
2012.05.28,55,195
2012.05.21,54,195
2012.05.14,55,193
2012.05.07,52,176
2012.04.30,60,178
2012.04.23,59,233
2012.04.16,59,233
2012.04.09,64,179
2012.04.02,64,179
2012.03.19,64,178
2012.03.05,64,181
2012.02.27,64,222
2012.02.20,65,142
2012.02.13,63,154
2012.02.06,64,155
2012.01.30,82,153
2012.01.16,82,139
2012.01.09,82,138
2012.01.02,103,137
2011.12.26,103,137
2011.12.19,103,137
2011.12.12,103,137
2011.12.05,103,138
2011.11.28,103,138
2011.11.21,102,138
2011.11.14,99,137
2011.11.07,110,138
2011.10.31,107,137
2011.10.24,110,138
2011.10.17,133,123
2011.10.10,108,120
2011.10.03,101,122
2011.09.26,115,121
2011.09.19,106,120
2011.09.12,105,118
2011.08.29,91,93
2011.08.22,91,92
2011.08.15,87,92
2011.08.08,61,92
2011.08.01,61,89
2011.07.25,58,87
2011.07.18,58,70
2011.07.11,58,67
2011.07.04,59,67
2011.06.20,54,64
2011.06.13,52,63
2011.06.06,55,65
2011.05.23,61,63
2011.05.16,55,62
2011.05.09,55,62
2011.05.02,53,58
2011.04.25,53,61
2011.04.18,53,61
2011.04.11,54,65
2011.04.04,51,65
2011.03.21,49,68
2011.03.07,49,68
2011.02.28,55,69
2011.02.21,51,85
2011.02.14,49,82
2011.02.07,48,82
2011.01.31,45,80
2011.01.17,44,93
2011.01.10,44,93
2011.01.03,45,76
2010.12.27,45,76
2010.12.20,45,76
2010.12.13,45,76
2010.12.06,45,76
2010.11.29,45,76
2010.11.22,45,76
2010.11.15,45,75
2010.11.08,52,75
2010.11.01,49,73
2010.10.25,50,66
2010.10.18,49,71
2010.10.11,59,72
2010.10.04,60,59
2010.09.27,59,58
2010.09.20,59,58
2010.09.13,59,59
2010.09.06,64,71
2010.08.30,64,71
2010.08.23,64,68
2010.08.16,58,60
2010.08.09,72,60
2010.08.02,70,59
2010.07.26,69,64
2010.07.19,73,84
2010.07.12,50,89
2010.07.05,50,87
2010.06.28,55,0
2010.06.21,55,89
2010.06.14,54,90
2010.06.07,55,91
2010.05.31,46,0
2010.05.24,46,93
2010.05.17,47,99
2010.05.10,44,101
2010.05.03,43,99
2010.04.26,46,95
2010.04.19,46,94
2010.04.12,43,94
2010.04.05,44,94
2010.03.29,48,0
2010.03.22,48,93
2010.03.15,44,0
2010.03.08,44,91
2010.03.01,44,91
2010.02.22,41,97
2010.02.15,41,95
2010.02.08,42,93
2010.02.01,37,95
2010.01.25,34,0
2010.01.18,34,95
2010.01.11,32,95
2010.01.04,32,136
2009.12.28,32,136
2009.12.21,32,137
2009.12.14,32,137
2009.12.07,32,137
2009.11.30,32,137
2009.11.23,32,135
2009.11.16,32,137
2009.11.09,31,138
2009.11.02,31,139
2009.10.26,32,198
2009.10.19,36,198
2009.10.12,34,201
2009.10.05,32,354
2009.09.28,33,358
2009.09.21,33,360
2009.09.14,33,369
2009.09.07,34,0
2009.08.31,34,248
2009.08.24,34,268
2009.08.17,35,367
2009.08.10,36,365
2009.08.03,36,367
2009.07.27,33,370
2009.07.20,32,374
2009.07.13,43,388
2009.07.06,43,404
2009.06.29,41,0
2009.06.22,41,406
2009.06.15,43,417
2009.06.08,43,425
2009.06.01,39,0
2009.05.25,39,434
2009.05.18,39,440
2009.05.11,40,448
2009.05.04,40,544
2009.04.27,42,546
2009.04.20,43,549
2009.04.13,43,556
2009.04.06,43,562
2009.03.30,45,0
2009.03.23,45,567
2009.03.16,48,0
2009.03.09,48,567
2009.03.02,49,569
2009.02.23,52,569
2009.02.16,55,476
2009.02.09,54,477
2009.02.02,61,475
2009.01.26,68,0
2009.01.19,68,488
2009.01.12,73,488
2009.01.05,74,488
2008.12.29,75,438
2008.12.22,75,438
2008.12.15,75,435
2008.12.08,75,435
2008.12.01,75,435
2008.11.24,74,434
2008.11.17,73,435
2008.11.10,76,443
2008.11.03,78,444
2008.10.27,79,441
2008.10.20,74,443
2008.10.13,71,442
2008.10.06,81,403
2008.09.29,83,406
2008.09.22,75,404
2008.09.15,74,401
2008.09.08,73,710
2008.09.01,80,0
2008.08.25,80,522
2008.08.18,79,431
2008.08.11,75,364
2008.08.04,78,365
2008.07.28,95,340
2008.07.21,97,341
2008.07.14,98,341
2008.07.07,103,339
2008.06.30,108,0
2008.06.23,108,331
2008.06.16,108,334
2008.06.09,94,336
2008.06.02,145,0
2008.05.26,145,334
2008.05.19,145,332
2008.05.12,160,331
2008.05.05,163,333
2008.04.28,159,331
2008.04.21,158,331
2008.04.14,157,327
2008.04.07,160,328
2008.03.31,160,0
2008.03.24,160,233
2008.03.17,165,0
2008.03.10,165,221
2008.03.03,160,216
