Date,Singles,Doubles
2020.11.30,2,473
2020.11.23,2,469
2020.11.16,2,466
2020.11.09,2,464
2020.11.02,2,463
2020.10.26,2,460
2020.10.19,2,458
2020.10.12,2,453
2020.09.28,2,444
2020.09.21,2,443
2020.09.14,2,440
2020.08.31,2,437
2020.08.24,2,436
2020.03.16,2,436
2020.03.09,2,430
2020.03.02,2,423
2020.02.24,2,424
2020.02.17,2,419
2020.02.10,2,419
2020.02.03,2,420
2020.01.20,1,426
2020.01.13,1,424
2020.01.06,1,0
2019.12.30,1,0
2019.12.23,1,0
2019.12.16,1,0
2019.12.09,1,0
2019.12.02,1,0
2019.11.25,1,0
2019.11.18,1,0
2019.11.11,1,0
2019.11.04,1,0
2019.10.28,2,0
2019.10.21,2,0
2019.10.14,2,0
2019.10.07,2,0
2019.09.30,2,0
2019.09.23,2,0
2019.09.16,2,0
2019.09.09,2,0
2019.08.26,2,0
2019.08.19,2,0
2019.08.12,2,0
2019.08.05,2,0
2019.07.29,2,0
2019.07.22,2,0
2019.07.15,2,0
2019.07.01,2,0
2019.06.24,2,0
2019.06.17,2,0
2019.06.10,2,0
2019.05.27,2,0
2019.05.20,2,0
2019.05.13,2,0
2019.05.06,2,0
2019.04.29,2,0
2019.04.22,2,0
2019.04.15,2,0
2019.04.08,2,0
2019.04.01,2,0
2019.03.18,2,0
2019.03.11,2,0
2019.03.04,2,0
2019.02.25,2,0
2019.02.18,2,0
2019.02.11,2,0
2019.02.04,2,0
2019.01.28,2,0
2019.01.14,2,0
2019.01.07,2,0
2018.12.31,2,0
2018.12.24,2,0
2018.12.17,2,0
2018.12.10,2,0
2018.12.03,2,0
2018.11.26,2,0
2018.11.19,2,0
2018.11.12,2,0
2018.11.05,2,0
2018.10.29,1,0
2018.10.22,1,0
2018.10.15,1,0
2018.10.08,1,0
2018.10.01,1,0
2018.09.24,1,0
2018.09.17,1,0
2018.09.10,1,0
2018.08.27,1,0
2018.08.20,1,0
2018.08.13,1,0
2018.08.06,1,0
2018.07.30,1,0
2018.07.23,1,0
2018.07.16,1,0
2018.07.02,1,0
2018.06.25,1,0
2018.06.18,2,0
2018.06.11,1,0
2018.05.28,1,0
2018.05.21,1,0
2018.05.14,2,0
2018.05.07,1,0
2018.04.30,1,0
2018.04.23,1,0
2018.04.16,1,0
2018.04.09,1,0
2018.04.02,1,0
2018.03.19,2,0
2018.03.05,2,540T
2018.02.26,2,535T
2018.02.19,2,535T
2018.02.12,1,536T
2018.02.05,1,539T
2018.01.29,1,540T
2018.01.15,1,539T
2018.01.08,1,544T
2018.01.01,1,541T
2017.12.25,1,542T
2017.12.18,1,542T
2017.12.11,1,541T
2017.12.04,1,544T
2017.11.27,1,542T
2017.11.20,1,543T
2017.11.13,1,551T
2017.11.06,1,550T
2017.10.30,1,557T
2017.10.23,1,556T
2017.10.16,1,561T
2017.10.09,1,560T
2017.10.02,1,136
2017.09.25,1,135
2017.09.18,1,135
2017.09.11,1,132
