Date,Singles,Doubles
2020.11.30,36,53
2020.11.23,36,53
2020.11.16,36,53
2020.11.09,36,52
2020.11.02,35,51
2020.10.26,34,51
2020.10.19,32,49
2020.10.12,32,47
2020.09.28,32,47
2020.09.21,32,47
2020.09.14,30,50
2020.08.31,29,48
2020.08.24,34,46
2020.03.16,34,46
2020.03.09,34,46
2020.03.02,34,46
2020.02.24,34,45
2020.02.17,35,44
2020.02.10,34,58
2020.02.03,35,57
2020.01.20,37,65
2020.01.13,37,65
2020.01.06,35,56
2019.12.30,35,56
2019.12.23,35,56
2019.12.16,35,56
2019.12.09,35,56
2019.12.02,35,56
2019.11.25,35,56
2019.11.18,35,56
2019.11.11,36,56
2019.11.04,36,56
2019.10.28,36,60
2019.10.21,41,59
2019.10.14,41,59
2019.10.07,38,56
2019.09.30,37,49
2019.09.23,38,49
2019.09.16,39,55
2019.09.09,39,55
2019.08.26,37,56
2019.08.19,35,57
2019.08.12,36,56
2019.08.05,35,57
2019.07.29,35,49
2019.07.22,36,44
2019.07.15,35,46
2019.07.01,33,40
2019.06.24,34,40
2019.06.17,35,41
2019.06.10,38,41
2019.05.27,45,37
2019.05.20,44,38
2019.05.13,51,37
2019.05.06,49,36
2019.04.29,48,36
2019.04.22,51,33
2019.04.15,44,32
2019.04.08,45,31
2019.04.01,45,31
2019.03.18,45,29
2019.03.11,55,29
2019.03.04,55,29
2019.02.25,54,31
2019.02.18,54,30
2019.02.11,54,30
2019.02.04,51,30
2019.01.28,51,30
2019.01.14,51,21
2019.01.07,58,22
2018.12.31,57,22
2018.12.24,57,22
2018.12.17,57,22
2018.12.10,57,22
2018.12.03,57,22
2018.11.26,57,22
2018.11.19,57,22
2018.11.12,57,22
2018.11.05,58,22
2018.10.29,59,22
2018.10.22,52,21
2018.10.15,58,22
2018.10.08,49,23
2018.10.01,56,29
2018.09.24,56,29
2018.09.17,50,29
2018.09.10,50,29
2018.08.27,58,29
2018.08.20,52,29
2018.08.13,51,29
2018.08.06,56,30
2018.07.30,56,30
2018.07.23,51,32
2018.07.16,53,31
2018.07.02,64,32
2018.06.25,65,34
2018.06.18,67,35
2018.06.11,65,33
2018.05.28,71,35
2018.05.21,67,36
2018.05.14,61,37
2018.05.07,65,40
2018.04.30,62,42
2018.04.23,61,46
2018.04.16,61,47
2018.04.09,60,50
2018.04.02,60,50
2018.03.19,56,68
2018.03.05,56,67
2018.02.26,56,72
2018.02.19,54,74
2018.02.12,56,75
2018.02.05,58,75
2018.01.29,58,75
2018.01.15,55,157
2018.01.08,53,176
2018.01.01,53,190
2017.12.25,53,190
2017.12.18,53,189
2017.12.11,53,189
2017.12.04,53,190
2017.11.27,53,190
2017.11.20,53,190
2017.11.13,54,190
2017.11.06,56,190
2017.10.30,48,192
2017.10.23,51,191
2017.10.16,49,193
2017.10.09,58,195
2017.10.02,48,183
2017.09.25,47,185
2017.09.18,54,166
2017.09.11,54,164
2017.08.28,49,182
2017.08.21,56,182
2017.08.14,56,183
2017.08.07,54,181
2017.07.31,53,205
2017.07.24,54,204
2017.07.17,52,178
2017.07.10,53,154
2017.07.03,53,154
2017.06.26,50,152
2017.06.19,49,148
2017.06.12,53,149
2017.05.29,47,160
2017.05.22,47,158
2017.05.15,52,157
2017.05.08,44,161
2017.05.01,48,156
2017.04.24,52,164
2017.04.17,58,160
2017.04.10,59,160
2017.04.03,61,164
2017.03.20,63,161
2017.03.06,63,161
2017.02.27,59,149
2017.02.20,62,151
2017.02.13,58,152
2017.02.06,60,154
2017.01.30,59,156
2017.01.16,58,157
2017.01.09,64,182
2017.01.02,63,182
2016.12.26,63,182
2016.12.19,63,182
2016.12.12,63,182
2016.12.05,63,182
2016.11.28,63,182
2016.11.21,63,183
2016.11.14,64,184
2016.11.07,64,183
2016.10.31,91,182
2016.10.24,93,185
2016.10.17,98,184
2016.10.10,95,181
2016.10.03,109,200
2016.09.26,84,186
2016.09.19,87,211
2016.09.12,67,199
2016.08.29,78,197
2016.08.22,78,196
2016.08.15,80,196
2016.08.08,83,195
2016.08.01,84,193
2016.07.25,86,151
2016.07.18,86,156
2016.07.11,86,158
2016.06.27,86,202
2016.06.20,89,203
2016.06.13,88,164
2016.06.06,89,177
2016.05.23,101,179
2016.05.16,102,179
2016.05.09,107,173
2016.05.02,107,170
2016.04.25,112,173
2016.04.18,113,176
2016.04.11,115,176
2016.04.04,112,157
2016.03.21,109,157
2016.03.07,110,167
2016.02.29,108,175
2016.02.22,108,176
2016.02.15,107,179
2016.02.08,106,178
2016.02.01,108,157
2016.01.18,113,159
2016.01.11,111,160
2016.01.04,107,162
2015.12.28,107,162
2015.12.21,107,162
2015.12.14,108,162
2015.12.07,108,162
2015.11.30,108,161
2015.11.23,105,159
2015.11.16,102,161
2015.11.09,102,160
2015.11.02,104,157
2015.10.26,103,157
2015.10.19,105,153
2015.10.12,96,154
2015.10.05,105,155
2015.09.28,136,155
2015.09.21,137,154
2015.09.14,148,162
2015.08.31,115,130
2015.08.24,113,129
2015.08.17,111,129
2015.08.10,115,130
2015.08.03,119,131
2015.07.27,119,164
2015.07.20,109,165
2015.07.13,111,167
2015.06.29,112,150
2015.06.22,112,148
2015.06.15,106,173
2015.06.08,105,148
2015.05.25,98,151
2015.05.18,98,151
2015.05.11,90,154
2015.05.04,87,154
2015.04.27,72,155
2015.04.20,72,152
2015.04.13,76,156
2015.04.06,75,168
2015.03.23,72,156
2015.03.09,73,157
2015.03.02,74,156
2015.02.23,76,158
2015.02.16,69,153
2015.02.09,60,154
2015.02.02,58,166
2015.01.19,57,169
2015.01.12,54,168
2015.01.05,58,165
2014.12.29,59,169
2014.12.22,59,169
2014.12.15,59,169
2014.12.08,59,168
2014.12.01,59,168
2014.11.24,59,168
2014.11.17,59,166
2014.11.10,55,164
2014.11.03,53,146
2014.10.27,46,141
2014.10.20,50,142
2014.10.13,52,146
2014.10.06,52,147
2014.09.29,53,147
2014.09.22,52,145
2014.09.15,61,147
2014.09.08,71,186
2014.08.25,77,227
2014.08.18,78,226
2014.08.11,77,227
2014.08.04,76,225
2014.07.28,76,226
2014.07.21,78,221
2014.07.14,73,222
2014.07.07,71,223
2014.06.23,66,303
2014.06.16,65,301
2014.06.09,64,443
2014.05.26,62,440
2014.05.19,65,443
2014.05.12,74,440
2014.05.05,73,444
2014.04.28,96,446
2014.04.21,96,445
2014.04.14,96,450
2014.04.07,95,389
2014.03.31,93,386
2014.03.17,104,474
2014.03.03,103,473
2014.02.24,99,472
2014.02.17,117,463
2014.02.10,130,501
2014.02.03,119,507
2014.01.27,120,499
2014.01.13,105,454
2014.01.06,106,454
2013.12.30,107,450
2013.12.23,107,451
2013.12.16,107,450
2013.12.09,107,448
2013.12.02,107,447
2013.11.25,109,450
2013.11.18,110,449
2013.11.11,105,448
2013.11.04,99,668
2013.10.28,114,684
2013.10.21,114,676
2013.10.14,117,673
2013.10.07,114,674
2013.09.30,113,666
2013.09.23,102,669
2013.09.16,102,661
2013.09.09,102,664
2013.08.26,96,524
2013.08.19,98,523
2013.08.12,95,524
2013.08.05,103,507
2013.07.29,103,479
