Date,Singles,Doubles
2020.11.30,78,1182
2020.11.23,78,1182
2020.11.16,78,1179
2020.11.09,81,1177
2020.11.02,77,1173
2020.10.26,83,1171
2020.10.19,87,1167
2020.10.12,85,1163
2020.09.28,83,1157
2020.09.21,83,1154
2020.09.14,80,1154T
2020.08.31,72,1151T
2020.08.24,70,1147T
2020.03.16,69,1146T
2020.03.09,69,1129T
2020.03.02,68,1124T
2020.02.24,65,1130T
2020.02.17,72,1127
2020.02.10,71,1128T
2020.02.03,90,1130
2020.01.20,98,1127T
2020.01.13,98,1126T
2020.01.06,98,1122
2019.12.30,98,1127
2019.12.23,98,1129
2019.12.16,98,1126
2019.12.09,98,1123
2019.12.02,98,1126
2019.11.25,98,1120
2019.11.18,98,1121
2019.11.11,100,1126
2019.11.04,100,1137
2019.10.28,104,1138
2019.10.21,104,1131T
2019.10.14,98,1133T
2019.10.07,92,1129T
2019.09.30,91,1129T
2019.09.23,98,1123T
2019.09.16,119,1127T
2019.09.09,119,1125
2019.08.26,129,1129
2019.08.19,129,1134
2019.08.12,128,1136
2019.08.05,146,0
2019.07.29,130,0
2019.07.22,133,0
2019.07.15,137,0
2019.07.01,167,0
2019.06.24,170,0
2019.06.17,157,0
2019.06.10,156,0
2019.05.27,155,0
2019.05.20,155,0
2019.05.13,158,0
2019.05.06,132,0
2019.04.29,133,0
2019.04.22,136,0
2019.04.15,135,0
2019.04.08,135,0
2019.04.01,134,0
2019.03.18,135,0
2019.03.11,138,0
2019.03.04,138,0
2019.02.25,155,0
2019.02.18,161,0
2019.02.11,161,0
2019.02.04,163,0
2019.01.28,161,0
2019.01.14,158,0
2019.01.07,157,0
2018.12.31,157,0
2018.12.24,157,0
2018.12.17,163,0
2018.12.10,164,0
2018.12.03,164,0
2018.11.26,164,0
2018.11.19,166,0
2018.11.12,167,0
2018.11.05,176,0
2018.10.29,177,0
2018.10.22,179,0
2018.10.15,217,0
2018.10.08,242,0
2018.10.01,250,0
2018.09.24,258,0
2018.09.17,264,0
2018.09.10,263,0
2018.08.27,260,0
2018.08.20,260,0
2018.08.13,264,0
2018.08.06,261,0
2018.07.30,301,1120T
2018.07.23,299,1122T
2018.07.16,215,1130T
2018.07.02,217,1129T
2018.06.25,217,1128T
2018.06.18,242,1135T
2018.06.11,245,1129T
2018.05.28,246,1121T
2018.05.21,246,1117T
2018.05.14,236,1120T
2018.05.07,236,1124T
2018.04.30,224,1117T
2018.04.23,200,1117T
2018.04.16,204,1121T
2018.04.09,203,1127T
2018.04.02,204,1121T
2018.03.19,154,1114T
2018.03.05,154,1120T
2018.02.26,150,1121T
2018.02.19,146,1124T
2018.02.12,148,1126T
2018.02.05,149,1121T
2018.01.29,147,1125T
2018.01.15,148,1125T
2018.01.08,148,938
2018.01.01,149,942
2017.12.25,149,937
2017.12.18,149,935
2017.12.11,149,934
2017.12.04,149,935
2017.11.27,149,936
2017.11.20,138,943
2017.11.13,131,945
2017.11.06,128,946
2017.10.30,126,948
2017.10.23,127,957
2017.10.16,124,961
2017.10.09,129,731
2017.10.02,125,739
2017.09.25,125,737
2017.09.18,125,743
2017.09.11,126,744
2017.08.28,124,744
2017.08.21,123,744
2017.08.14,124,746
2017.08.07,124,749
2017.07.31,121,891
2017.07.24,123,890
2017.07.17,160,887
2017.07.10,166,893
2017.07.03,166,893
2017.06.26,166,880
2017.06.19,163,865
2017.06.12,165,870
2017.05.29,169,884T
2017.05.22,169,876T
2017.05.15,170,876T
2017.05.08,225,875T
2017.05.01,236,872T
2017.04.24,268,876T
2017.04.17,265,879T
2017.04.10,265,877T
2017.04.03,263,878T
2017.03.20,404,877
2017.03.06,409,769
2017.02.27,408,769
2017.02.20,466,774T
2017.02.13,468,781
2017.02.06,342,779
2017.01.30,341,776
2017.01.16,326,779
2017.01.09,327,887
2017.01.02,298,888
2016.12.26,297,888
2016.12.19,296,885
2016.12.12,297,885
2016.12.05,299,883
2016.11.28,299,885
2016.11.21,301,760
2016.11.14,334,758
2016.11.07,222,753
2016.10.31,222,746
2016.10.24,224,744
2016.10.17,224,744
2016.10.10,218,956
2016.10.03,220,958
2016.09.26,220,963
2016.09.19,222,966T
2016.09.12,211,956
2016.08.29,209,962
2016.08.22,207,749
2016.08.15,203,616
2016.08.08,199,622
2016.08.01,182,622
2016.07.25,180,621
2016.07.18,178,620
2016.07.11,170,615
2016.06.27,169,607
2016.06.20,168,611
2016.06.13,168,613
2016.06.06,167,612
2016.05.23,171,607
2016.05.16,169,602
2016.05.09,173,607
2016.05.02,174,611
2016.04.25,172,607
2016.04.18,172,615
2016.04.11,173,614
2016.04.04,175,618
2016.03.21,177,623
2016.03.07,172,688
2016.02.29,173,689
2016.02.22,168,622
2016.02.15,164,362
2016.02.08,184,366
2016.02.01,184,363
2016.01.18,180,361
2016.01.11,179,361
2016.01.04,188,357
2015.12.28,188,357
2015.12.21,189,354
2015.12.14,189,355
2015.12.07,189,357
2015.11.30,188,358
2015.11.23,222,392
2015.11.16,225,398
2015.11.09,324,363
2015.11.02,321,359
2015.10.26,309,324
2015.10.19,323,323
2015.10.12,337,319
2015.10.05,316,319
2015.09.28,313,321
2015.09.21,313,317
2015.09.14,302,290
2015.08.31,301,281
2015.08.24,302,308
2015.08.17,331,346
2015.08.10,337,342
2015.08.03,379,343
2015.07.27,379,348
2015.07.20,304,346
2015.07.13,327,326
2015.06.29,282,319
2015.06.22,279,313
2015.06.15,279,312
2015.06.08,247,309
2015.05.25,245,274
2015.05.18,246,276
2015.05.11,248,279
2015.05.04,248,273
2015.04.27,250,266
2015.04.20,247,266
2015.04.13,246,269
2015.04.06,232,273
2015.03.23,240,264
2015.03.09,252,266
2015.03.02,246,263
2015.02.23,262,269
2015.02.16,260,404
2015.02.09,260,404
2015.02.02,259,402
2015.01.19,265,402
2015.01.12,265,403
2015.01.05,265,395
2014.12.29,268,405
2014.12.22,269,402
2014.12.15,267,399
2014.12.08,266,397
2014.12.01,248,394
2014.11.24,248,393
2014.11.17,233,361
2014.11.10,247,388
2014.11.03,241,385
2014.10.27,247,449
2014.10.20,239,333
2014.10.13,233,333
2014.10.06,239,332
2014.09.29,242,332
2014.09.22,237,314
2014.09.15,261,340
2014.09.08,246,375
2014.08.25,227,368
2014.08.18,199,374
2014.08.11,201,375
2014.08.04,200,378
2014.07.28,201,372
2014.07.21,228,379
2014.07.14,229,406
2014.07.07,230,441
2014.06.23,250,447
2014.06.16,252,443
2014.06.09,287,444
2014.05.26,283,475
2014.05.19,272,459
2014.05.12,268,461
2014.05.05,273,463
2014.04.28,265,466
2014.04.21,261,462
2014.04.14,258,471
2014.04.07,269,473
2014.03.31,265,501
2014.03.17,268,501
2014.03.03,258,463
2014.02.24,254,463
2014.02.17,259,455
2014.02.10,257,454
2014.02.03,260,443
2014.01.27,252,440
2014.01.13,252,443
2014.01.06,254,442
2013.12.30,253,438
2013.12.23,254,438
2013.12.16,254,438
2013.12.09,251,437
2013.12.02,258,436
2013.11.25,258,434
2013.11.18,267,465
2013.11.11,292,469
2013.11.04,295,475
2013.10.28,290,477
2013.10.21,302,704
2013.10.14,315,703
2013.10.07,314,705
2013.09.30,313,695
2013.09.23,325,794
2013.09.16,321,793
2013.09.09,343,798
2013.08.26,401,790
2013.08.19,492,789
2013.08.12,489,779
2013.08.05,489,773
2013.07.29,490,768
2013.07.22,514,769
2013.07.15,453,713
2013.07.08,456,708
2013.06.24,450,578
2013.06.17,447,578
2013.06.10,445,576
2013.05.27,457,571
2013.05.20,488,587
2013.05.13,479,582
2013.05.06,489,578
2013.04.29,494,569
2013.04.22,512,573
2013.04.15,511,574
2013.04.08,487,574
2013.04.01,450,546
2013.03.18,450,549
2013.03.04,478,587
2013.02.25,486,588
2013.02.18,489,594
2013.02.11,490,597
2013.02.04,492,623
2013.01.28,518,627
2013.01.14,516,632
2013.01.07,516,632
2012.12.31,517,634
2012.12.24,517,632
2012.12.17,517,633
2012.12.10,516,632
2012.12.03,503,606
2012.11.26,502,572
2012.11.19,534,567
2012.11.12,538,568
2012.11.05,537,568
2012.10.29,535,569
2012.10.22,532,563
2012.10.15,530,562
2012.10.08,531,559
2012.10.01,531,567
2012.09.24,530,568
2012.09.17,537,567
2012.09.10,533,560
2012.08.27,541,559
2012.08.20,541,556
2012.08.13,546,555
2012.08.06,545,525
2012.07.30,542,509
2012.07.23,576,502
2012.07.16,663,521
2012.07.09,667,528
2012.06.25,689,679
2012.06.18,686,673
2012.06.11,699,674
2012.05.28,696,735
2012.05.21,689,730
2012.05.14,690,728
2012.05.07,685,727
2012.04.30,684,728
2012.04.23,682,724
2012.04.16,680,723
2012.04.09,773,722
2012.04.02,972,888
2012.03.19,1010T,883T
2012.03.05,1009T,886
2012.02.27,1011,886
2012.02.20,1061T,878
2012.02.13,1063T,875
2012.02.06,1059T,874
2012.01.30,1063,877
2012.01.16,1185T,879
2012.01.09,1184T,879
2012.01.02,1184T,878
2011.12.26,1183T,878
2011.12.19,1179T,878
2011.12.12,1181T,880
2011.12.05,1487T,972T
2011.11.28,1488T,1131T
2011.11.21,1483T,1134T
2011.11.14,1484T,1139T
2011.11.07,1479T,1132T
2011.10.31,1486T,1135T
2011.10.24,1501T,994
2011.10.17,1516T,1007
2011.10.10,1513T,1013
2011.10.03,1518T,936
2011.09.26,1505T,931
2011.09.19,1506T,923
2011.09.12,1499T,917
2011.08.29,1491T,922
2011.08.22,1328T,918
2011.08.15,1192T,914T
2011.08.08,1185T,1048
2011.08.01,1298T,1200
2011.07.25,1298T,1194T
2011.07.18,1299T,1188T
2011.07.11,1287T,1191
2011.07.04,1289T,1181
2011.06.20,1288T,1179
2011.06.13,1295T,1184T
2011.06.06,1429T,1185T
2011.05.23,1417T,1180T
2011.05.16,1404T,1168T
2011.05.09,1403T,1172T
