Date,Singles,Doubles
2020.11.30,79,209
2020.11.23,79,207
2020.11.16,79,206
2020.11.09,77,206
2020.11.02,76,203
2020.10.26,75,203
2020.10.19,75,202
2020.10.12,72,199
2020.09.28,69,193
2020.09.21,68,193
2020.09.14,67,193
2020.08.31,62,192
2020.08.24,62,188
2020.03.16,62,188
2020.03.09,62,188
2020.03.02,62,186
2020.02.24,63,204
2020.02.17,61,205
2020.02.10,69,293
2020.02.03,50,291
2020.01.20,52,296
2020.01.13,51,345
2020.01.06,50,342
2019.12.30,50,343
2019.12.23,50,344
2019.12.16,50,344
2019.12.09,50,342
2019.12.02,50,343
2019.11.25,50,343
2019.11.18,50,343
2019.11.11,50,340
2019.11.04,51,338
2019.10.28,51,340
2019.10.21,52,318
2019.10.14,51,316
2019.10.07,56,277
2019.09.30,59,266
2019.09.23,57,264
2019.09.16,56,263
2019.09.09,56,262
2019.08.26,56,373
2019.08.19,56,372
2019.08.12,55,370
2019.08.05,57,372
2019.07.29,59,311
2019.07.22,56,308
2019.07.15,71,306
2019.07.01,60,306
2019.06.24,62,309
2019.06.17,59,285
2019.06.10,58,286
2019.05.27,78,288
2019.05.20,78,290
2019.05.13,73,289
2019.05.06,77,272
2019.04.29,80,311
2019.04.22,79,312
2019.04.15,79,306
2019.04.08,66,310
2019.04.01,64,305
2019.03.18,66,307
2019.03.11,64,310
2019.03.04,64,310
2019.02.25,66,283
2019.02.18,69,281
2019.02.11,69,285
2019.02.04,112,285
2019.01.28,112,285
2019.01.14,114,287
2019.01.07,117,288
2018.12.31,118,287
2018.12.24,118,287
2018.12.17,120,359
2018.12.10,120,359
2018.12.03,120,359
2018.11.26,120,365
2018.11.19,121,363
2018.11.12,121,358
2018.11.05,118,360
2018.10.29,119,360
2018.10.22,122,381
2018.10.15,124,383
2018.10.08,120,418
2018.10.01,118,456
2018.09.24,118,459
2018.09.17,119,460
2018.09.10,118,462
2018.08.27,123,426
2018.08.20,123,427
2018.08.13,125,288
2018.08.06,122,267
2018.07.30,123,268
2018.07.23,136,235
2018.07.16,137,235
2018.07.02,170,236
2018.06.25,161,239
2018.06.18,164,258
2018.06.11,163,253
2018.05.28,172,247
2018.05.21,172,248
2018.05.14,193,246
2018.05.07,194,258
2018.04.30,195,255
2018.04.23,202,251
2018.04.16,218,248
2018.04.09,314,244
2018.04.02,357,251
2018.03.19,353,249
2018.03.05,351,221
2018.02.26,364,240
2018.02.19,362,244
2018.02.12,362,240
2018.02.05,363,224
2018.01.29,362,217
2018.01.15,363,220
2018.01.08,363,219
2018.01.01,362,218
2017.12.25,362,218
2017.12.18,364,218
2017.12.11,361,217
2017.12.04,362,218
2017.11.27,360,217
2017.11.20,369,217
2017.11.13,365,215
2017.11.06,374,218
2017.10.30,377,221
2017.10.23,375,218
2017.10.16,398,218
2017.10.09,414,229
2017.10.02,371,224
2017.09.25,370,209
2017.09.18,366,210
2017.09.11,370,214
2017.08.28,365,216
2017.08.21,366,216
2017.08.14,396,296
2017.08.07,402,316
2017.07.31,401,312
2017.07.24,402,387
2017.07.17,411,384
2017.07.10,424,383
2017.07.03,424,383
2017.06.26,473,380
2017.06.19,472,380
2017.06.12,385,383
2017.05.29,387,398
2017.05.22,395,402
2017.05.15,388,392
2017.05.08,397,382
2017.05.01,397,382
2017.04.24,398,383
2017.04.17,371,384
2017.04.10,382,408
2017.04.03,381,407
2017.03.20,377,407
2017.03.06,351,473
2017.02.27,349,473
2017.02.20,351,481
2017.02.13,352,485
2017.02.06,354,540
2017.01.30,346,634
2017.01.16,342,487
2017.01.09,344,487
2017.01.02,342,486
2016.12.26,341,485
2016.12.19,340,485
2016.12.12,338,486
2016.12.05,342,484
2016.11.28,345,488
2016.11.21,343,487
2016.11.14,359,486
2016.11.07,343,487
2016.10.31,341,491
2016.10.24,315,495
2016.10.17,316,490
2016.10.10,316,488
2016.10.03,314,487
2016.09.26,304,636
2016.09.19,291,552
2016.09.12,288,549
2016.08.29,274,649
2016.08.22,276,653
2016.08.15,277,651
2016.08.08,277,655
2016.08.01,264,656
2016.07.25,260,659
2016.07.18,259,658
2016.07.11,255,643
2016.06.27,258,647
2016.06.20,255,650
2016.06.13,293,653
2016.06.06,290,651
2016.05.23,298,648
2016.05.16,301,672
2016.05.09,302,708
2016.05.02,292,626
2016.04.25,292,621
2016.04.18,305,629
2016.04.11,303,626
2016.04.04,306,541
2016.03.21,278,541
2016.03.07,283,626
2016.02.29,284,624
2016.02.22,284,628
2016.02.15,284,627
2016.02.08,285,625
2016.02.01,289,626
2016.01.18,288,803
2016.01.11,286,803
2016.01.04,287,809
2015.12.28,287,809
2015.12.21,287,810
2015.12.14,289,806
2015.12.07,289,803
2015.11.30,288,802
2015.11.23,284,798
2015.11.16,267,798
2015.11.09,279,803
2015.11.02,272,805
2015.10.26,281,806
2015.10.19,280,558
2015.10.12,279,554
2015.10.05,302,549
2015.09.28,315,537
2015.09.21,333,619
2015.09.14,304,599
2015.08.31,348,611
2015.08.24,339,606
2015.08.17,338,611
2015.08.10,343,613
2015.08.03,332,520
2015.07.27,331,522
2015.07.20,348,522
2015.07.13,326,530
2015.06.29,300,543
2015.06.22,299,530
2015.06.15,297,537
2015.06.08,299,550
2015.05.25,277,490
2015.05.18,279,494
2015.05.11,223,488
2015.05.04,232,537
2015.04.27,235,540
2015.04.20,239,485
2015.04.13,239,484
2015.04.06,234,538
2015.03.23,242,510
2015.03.09,260,516
2015.03.02,258,511
2015.02.23,242,512
2015.02.16,238,512
2015.02.09,239,508
2015.02.02,241,509
2015.01.19,230,424
2015.01.12,230,425
2015.01.05,231,420
2014.12.29,232,426
2014.12.22,232,424
2014.12.15,230,419
2014.12.08,209,390
2014.12.01,203,348
2014.11.24,204,343
2014.11.17,219,339
2014.11.10,208,341
2014.11.03,200,339
2014.10.27,194,343
2014.10.20,194,439
2014.10.13,194,434
2014.10.06,188,404
2014.09.29,189,404
2014.09.22,191,404
2014.09.15,193,383
2014.09.08,186,381
2014.08.25,187,378
2014.08.18,187,382
2014.08.11,189,385
2014.08.04,194,415
2014.07.28,195,419
2014.07.21,196,426
2014.07.14,193,425
2014.07.07,192,429
2014.06.23,198,428
2014.06.16,198,427
2014.06.09,197,427
2014.05.26,210,460
2014.05.19,209,458
2014.05.12,237,460
2014.05.05,235,462
2014.04.28,236,464
2014.04.21,244,449
2014.04.14,242,456
2014.04.07,237,443
2014.03.31,237,440
2014.03.17,253,459
2014.03.03,257,457
2014.02.24,272,454
2014.02.17,272,448
2014.02.10,268,446
2014.02.03,268,450
2014.01.27,277,522
2014.01.13,275,528
2014.01.06,276,528
2013.12.30,278,530
2013.12.23,278,529
2013.12.16,278,531
2013.12.09,319,596
2013.12.02,327,669
2013.11.25,327,669
2013.11.18,327,662
2013.11.11,342,662
2013.11.04,354,666
2013.10.28,390,663
2013.10.21,378,654
2013.10.14,377,650
2013.10.07,459,650
2013.09.30,456,644
2013.09.23,460,648
2013.09.16,483,631
2013.09.09,492,558
2013.08.26,522,541
2013.08.19,514,539
2013.08.12,505,539T
2013.08.05,513,543
2013.07.29,512,538
2013.07.22,545,501
2013.07.15,564,483
2013.07.08,545,489
2013.06.24,545,475
2013.06.17,507,475
2013.06.10,512,477
2013.05.27,504,457
2013.05.20,501,456
2013.05.13,546,458
2013.05.06,537,432
2013.04.29,529,429
2013.04.22,474,481
2013.04.15,477,480
2013.04.08,484,485
2013.04.01,487,475
2013.03.18,489,478
2013.03.04,490,469
2013.02.25,470,469
2013.02.18,473,472
2013.02.11,476,472
2013.02.04,478,473
2013.01.28,477,474
2013.01.14,479,467
2013.01.07,479,469
2012.12.31,479,471
2012.12.24,478,470
2012.12.17,478,469
2012.12.10,475,465
2012.12.03,472,492
2012.11.26,472,494
2012.11.19,471,494
2012.11.12,452,477
2012.11.05,448,478
2012.10.29,446,470
2012.10.22,455,466
2012.10.15,454,455
2012.10.08,457,493
2012.10.01,438,498
2012.09.24,435,468
2012.09.17,435,519
2012.09.10,459,584
2012.08.27,457,598
2012.08.20,466,597
2012.08.13,467,597
2012.08.06,462,595
2012.07.30,463,595
2012.07.23,470,654
2012.07.16,491,689
2012.07.09,515,690
2012.06.25,515,680
2012.06.18,543,675
2012.06.11,543,677
2012.05.28,550,714
2012.05.21,545,706
2012.05.14,537,709
2012.05.07,535,788
2012.04.30,535,731
2012.04.23,635,727
2012.04.16,632,728
2012.04.09,640,775
2012.04.02,643,818
2012.03.19,638,821
2012.03.05,635,821
2012.02.27,679,818
2012.02.20,692,811
2012.02.13,687,813
2012.02.06,675,811
2012.01.30,679,810
2012.01.16,682,823
2012.01.09,681,823
2012.01.02,681,822
2011.12.26,680,821
2011.12.19,680,822
2011.12.12,668,824
2011.12.05,673,826
2011.11.28,671,825
2011.11.21,661,825
2011.11.14,715,883
2011.11.07,718,888
2011.10.31,721,890
2011.10.24,726,840
2011.10.17,738,904
2011.10.10,682,912
2011.10.03,768,913
2011.09.26,771,1042
2011.09.19,738,1030
2011.09.12,737,1027
2011.08.29,732,1028
2011.08.22,734,1029T
2011.08.15,737,1018T
2011.08.08,737,1015T
2011.08.01,735,1017T
2011.07.25,733,1012
2011.07.18,728,1014
2011.07.11,705,1008
2011.07.04,726,1001
2011.06.20,745,1211
2011.06.13,746,1217
2011.06.06,746,1085
2011.05.23,738,1078
2011.05.16,755,1073
2011.05.09,765T,1068
2011.05.02,768T,1201T
2011.04.25,768,1202
2011.04.18,767,1203
2011.04.11,772,1207
2011.04.04,772,1208
2011.03.21,773,1207
2011.03.07,771,1201
2011.02.28,770,1200
2011.02.21,775,1203
2011.02.14,772,1200T
2011.02.07,780,1195
2011.01.31,784,1198
2011.01.17,784,1196
2011.01.10,785,1194
2011.01.03,785,1196
2010.12.27,786,1196
2010.12.20,785,1192
2010.12.13,795,1188T
2010.12.06,794,1184T
2010.11.29,790,1182
2010.11.22,784,1180T
2010.11.15,786,1176T
2010.11.08,786,1175T
2010.11.01,790,1175T
2010.10.25,794,1427T
2010.10.18,795,1419T
2010.10.11,924,1420T
2010.10.04,992,1407T
2010.09.27,1031,1406T
2010.09.20,1207T,1398T
2010.09.13,1198T,1385T
2010.09.06,1201T,1378T
2010.08.30,1201T,1378T
2010.08.23,1193T,1374T
2010.08.16,1186T,1361T
2010.08.09,1188T,1361T
2010.08.02,1184T,1353T
2010.07.26,1186T,1352T
2010.07.19,1291T,1345T
2010.07.12,0,1343T
2010.07.05,0,1332T
2010.06.28,0,0
2010.06.21,0,1335T
2010.06.14,0,1332T
